"","word1","word2","n","decade"
"75","foreign","mints",2,"pre1850s"
"76","francisco","california",2,"pre1850s"
"77","gaining","ground",2,"pre1850s"
"78","gold","mines",2,"pre1850s"
"79","grand","jury",2,"pre1850s"
"80","guilty","parties",2,"pre1850s"
"81","henderson","county",2,"pre1850s"
"82","horse","stealing",2,"pre1850s"
"83","horse","thieves",2,"pre1850s"
"84","hugh","cotton",2,"pre1850s"
"85","hull","dispensed",2,"pre1850s"
"86","inst","phillips",2,"pre1850s"
"87","instant","death",2,"pre1850s"
"88","irregular","proceedings",2,"pre1850s"
"89","james","barnes",2,"pre1850s"
"90","je","suis",2,"pre1850s"
"91","jefferson","county",2,"pre1850s"
"92","jesus","christ",2,"pre1850s"
"93","joe","merritt",2,"pre1850s"
"94","lieutenant","dead",2,"pre1850s"
"95","lord","camelford",2,"pre1850s"
"96","louis","napoleon",2,"pre1850s"
"97","lower","classes",2,"pre1850s"
"98","ly","executed",2,"pre1850s"
"99","lynch","lawabolitionists",2,"pre1850s"
"100","mary","ellen",2,"pre1850s"
"101","mayor's","office",2,"pre1850s"
"102","merchant","finding",2,"pre1850s"
"103","mexican","authorities",2,"pre1850s"
"104","mississippi","river",2,"pre1850s"
"105","mob","hung",2,"pre1850s"
"106","mob","violence",2,"pre1850s"
"107","murderthus","blasting",2,"pre1850s"
"108","named","counties",2,"pre1850s"
"109","november","13",2,"pre1850s"
"110","numerous","gang",2,"pre1850s"
"111","official","papers",2,"pre1850s"
"112","ohio","canal",2,"pre1850s"
"113","ounce","troy",2,"pre1850s"
"114","outrages","murders",2,"pre1850s"
"115","pollock","hugh",2,"pre1850s"
"116","popular","local",2,"pre1850s"
"117","post","office",2,"pre1850s"
"118","prince","de",2,"pre1850s"
"119","public","opinion",2,"pre1850s"
"120","pulling","themperhaps",2,"pre1850s"
"121","questionable","legality",2,"pre1850s"
"122","relay","magnets",2,"pre1850s"
"123","rio","grande",2,"pre1850s"
"124","river","landing",2,"pre1850s"
"125","river","opposite",2,"pre1850s"
"126","robert","hunter",2,"pre1850s"
"127","runaway","race",2,"pre1850s"
"128","set","adrift",2,"pre1850s"
"129","ship","mary",2,"pre1850s"
"130","shocking","outrages",2,"pre1850s"
"131","short","time",2,"pre1850s"
"132","sixty","miles",2,"pre1850s"
"133","somers","stewart",2,"pre1850s"
"134","south","carolina",2,"pre1850s"
"135","squire","forrer",2,"pre1850s"
"136","stewart","jones",2,"pre1850s"
"137","struggling","victim",2,"pre1850s"
"138","summary","manner",2,"pre1850s"
"139","tastes","run",2,"pre1850s"
"140","ten","thousand",2,"pre1850s"
"141","time","past",2,"pre1850s"
"142","trading","flat",2,"pre1850s"
"143","tuesday","night",2,"pre1850s"
"144","uncommon","speed",2,"pre1850s"
"145","united","service",2,"pre1850s"
"146","van","buren",2,"pre1850s"
"147","vera","cruz",2,"pre1850s"
"148","wednesday","morning",2,"pre1850s"
"149","wild","cherry",2,"pre1850s"
"150","willis","pollock",2,"pre1850s"
"151","wind","howled",2,"pre1850s"
"152","winnebago","counties",2,"pre1850s"
"153","wistar's","balsam",2,"pre1850s"
"154","wrathful","wind",2,"pre1850s"
"155","york","joe",2,"pre1850s"
"156","0","horrible",1,"pre1850s"
"157","000","twothirds",1,"pre1850s"
"158","1","apiece",1,"pre1850s"
"159","1,500","persons",1,"pre1850s"
"160","1,500","worth",1,"pre1850s"
"161","1.000","dence",1,"pre1850s"
"162","1.500","lieved",1,"pre1850s"
"163","10","1815",1,"pre1850s"
"164","100","vessels",1,"pre1850s"
"165","10th","instant",1,"pre1850s"
"166","11th","inst",1,"pre1850s"
"167","13","7",1,"pre1850s"
"168","150","lashes",1,"pre1850s"
"169","16","1835",1,"pre1850s"
"170","16th","ult",1,"pre1850s"
"171","170","miles",1,"pre1850s"
"172","18","1846",1,"pre1850s"
"173","1832","3",1,"pre1850s"
"174","1844","5",1,"pre1850s"
"175","19th","inst",1,"pre1850s"
"176","2","1849",1,"pre1850s"
"177","2","o'clock",1,"pre1850s"
"178","20","armed",1,"pre1850s"
"179","20","lashes",1,"pre1850s"
"180","20","miles",1,"pre1850s"
"181","20","murders",1,"pre1850s"
"182","20,000","people",1,"pre1850s"
"183","21st","ult",1,"pre1850s"
"184","22","loco",1,"pre1850s"
"185","22d","inst",1,"pre1850s"
"186","23d","ult",1,"pre1850s"
"187","25th","ult",1,"pre1850s"
"188","28th","inst",1,"pre1850s"
"189","29","1819",1,"pre1850s"
"190","2d","avenues",1,"pre1850s"
"191","2d","instant",1,"pre1850s"
"192","3","4",1,"pre1850s"
"193","3","children",1,"pre1850s"
"194","3,000","troops",1,"pre1850s"
"195","30","lashes",1,"pre1850s"
"196","31","1835",1,"pre1850s"
"197","35","dollars",1,"pre1850s"
"198","3d","instant",1,"pre1850s"
"199","40","miles",1,"pre1850s"
"200","400,000","twothirds",1,"pre1850s"
"201","4th","infantry",1,"pre1850s"
"202","4th","inst",1,"pre1850s"
"203","5","minuteswhen",1,"pre1850s"
"204","50","000",1,"pre1850s"
"205","50","balle",1,"pre1850s"
"206","50","cents",1,"pre1850s"
"207","6","yoakum",1,"pre1850s"
"208","6000","occurred",1,"pre1850s"
"209","62","loco",1,"pre1850s"
"210","6th","instant",1,"pre1850s"
"211","75","persons",1,"pre1850s"
"212","7th","january",1,"pre1850s"
"213","7th","stripped",1,"pre1850s"
"214","9","o'clock",1,"pre1850s"
"215","9th","inst",1,"pre1850s"
"216","abin","pursoit",1,"pre1850s"
"217","abolition","anni",1,"pre1850s"
"218","abolition","books",1,"pre1850s"
"219","abolition","convention",1,"pre1850s"
"220","abolition","dens",1,"pre1850s"
"221","abolition","incendiary",1,"pre1850s"
"222","abolition","paper",1,"pre1850s"
"223","abolition","publication",1,"pre1850s"
"224","abolition","speeches",1,"pre1850s"
"225","abolitionists","elected",1,"pre1850s"
"226","abominable","inferences",1,"pre1850s"
"227","abortive","attempt",1,"pre1850s"
"228","abroad","wealth",1,"pre1850s"
"229","abroad","whilst",1,"pre1850s"
"230","ac","acteristic",1,"pre1850s"
"231","accidental","reprieve",1,"pre1850s"
"232","account","saysthey",1,"pre1850s"
"233","accounts","consulting",1,"pre1850s"
"234","accurate","es",1,"pre1850s"
"235","accurate","estimates",1,"pre1850s"
"236","acter","complexion",1,"pre1850s"
"237","acting","principal",1,"pre1850s"
"238","active","exert",1,"pre1850s"
"239","actively","engaged",1,"pre1850s"
"240","ad","lewistown",1,"pre1850s"
"241","adjacent","window",1,"pre1850s"
"242","administered","bread",1,"pre1850s"
"243","administering","lynch",1,"pre1850s"
"244","advance","coming",1,"pre1850s"
"245","affair","instantly",1,"pre1850s"
"246","affluent","planter",1,"pre1850s"
"247","affords","fresh",1,"pre1850s"
"248","afloat","wyatt",1,"pre1850s"
"249","afternoon","escorted",1,"pre1850s"
"250","afternoon","fisher",1,"pre1850s"
"251","afternoon","ladies",1,"pre1850s"
"252","afternoon's","nap",1,"pre1850s"
"253","aged","citizen",1,"pre1850s"
"254","aged","whig",1,"pre1850s"
"255","agents","appearing",1,"pre1850s"
"256","agility","added",1,"pre1850s"
"257","al","agricultural",1,"pre1850s"
"258","alabama","note",1,"pre1850s"
"259","alarmed","yesterday",1,"pre1850s"
"260","alarming","na",1,"pre1850s"
"261","albany","argus",1,"pre1850s"
"262","albany","held",1,"pre1850s"
"263","albeit","daniel",1,"pre1850s"
"264","alexander","bailed",1,"pre1850s"
"265","alexandria","experiment",1,"pre1850s"
"266","alive","thousand",1,"pre1850s"
"267","alleged","murder",1,"pre1850s"
"268","allen","haley",1,"pre1850s"
"269","allowed","children",1,"pre1850s"
"270","alluded","lynch",1,"pre1850s"
"271","amende","honorabic",1,"pre1850s"
"272","american","army",1,"pre1850s"
"273","american","consul",1,"pre1850s"
"274","american","government",1,"pre1850s"
"275","american","lawa",1,"pre1850s"
"276","american","navies",1,"pre1850s"
"277","american","people",1,"pre1850s"
"278","american","provinces",1,"pre1850s"
"279","american","rights",1,"pre1850s"
"280","american","sentinel",1,"pre1850s"
"281","american","slavery",1,"pre1850s"
"282","american","wheat",1,"pre1850s"
"283","amount","usual",1,"pre1850s"
"284","amply","adequate",1,"pre1850s"
"285","amstown","grant",1,"pre1850s"
"286","anarchy","misrule",1,"pre1850s"
"287","andrew","mclough",1,"pre1850s"
"288","aneident","resulting",1,"pre1850s"
"289","angles","squares",1,"pre1850s"
"290","anni","french",1,"pre1850s"
"291","annually","perused",1,"pre1850s"
"292","antislavery","advocate",1,"pre1850s"
"293","antislavery","quacksthompson",1,"pre1850s"
"294","appeared","stupified",1,"pre1850s"
"295","appears","officia",1,"pre1850s"
"296","appears","officiated",1,"pre1850s"
"297","appearsome","intelligent",1,"pre1850s"
"298","applying","lynch",1,"pre1850s"
"299","apprehend","whigs",1,"pre1850s"
"300","april","10",1,"pre1850s"
"301","arbitrarily","dealt",1,"pre1850s"
"302","archpersecutor","col",1,"pre1850s"
"303","ard","county",1,"pre1850s"
"304","argus","printed",1,"pre1850s"
"305","ari","ested",1,"pre1850s"
"306","ark","gazette",1,"pre1850s"
"307","arkadene","viver",1,"pre1850s"
"308","arkansas","informs",1,"pre1850s"
"309","arkansas","paper",1,"pre1850s"
"310","arkansas","river",1,"pre1850s"
"311","arranged","maryland",1,"pre1850s"
"312","arrest","deserters",1,"pre1850s"
"313","arrest.a","gentleman",1,"pre1850s"
"314","arrested.we","learn",1,"pre1850s"
"315","arrived","wyatt",1,"pre1850s"
"316","arrives","runs",1,"pre1850s"
"317","arsdale's","deposition",1,"pre1850s"
"318","article","vi",1,"pre1850s"
"319","assemblage","held",1,"pre1850s"
"320","astonishment","indignation",1,"pre1850s"
"321","atlantic","cities",1,"pre1850s"
"322","atmospheric","electricity",1,"pre1850s"
"323","atonement","adjudged",1,"pre1850s"
"324","atrocions","character",1,"pre1850s"
"325","atrocious","murder",1,"pre1850s"
"326","atrocious","murders",1,"pre1850s"
"327","attempted","murder",1,"pre1850s"
"328","attempting","niles",1,"pre1850s"
"329","attended","anti",1,"pre1850s"
"330","attended","conventions",1,"pre1850s"
"331","attending","delphia",1,"pre1850s"
"332","auburn","april",1,"pre1850s"
"333","audacious","attempts",1,"pre1850s"
"334","audience","proved",1,"pre1850s"
"335","august","31",1,"pre1850s"
"336","augustine","texas",1,"pre1850s"
"337","awful","atonement",1,"pre1850s"
"338","awful","description",1,"pre1850s"
"339","awful","sin",1,"pre1850s"
"340","axe","struck",1,"pre1850s"
"341","bad","fever",1,"pre1850s"
"342","badly","lynched",1,"pre1850s"
"343","bainbridge","lynched",1,"pre1850s"
"344","balance","due",1,"pre1850s"
"345","ball","entering",1,"pre1850s"
"346","balle","weat",1,"pre1850s"
"347","ballot","elected",1,"pre1850s"
"348","baltimore","clipper",1,"pre1850s"
"349","baltimore","jail",1,"pre1850s"
"350","baltimore","july",1,"pre1850s"
"351","barbaric","sentence",1,"pre1850s"
"352","bare","suspicion",1,"pre1850s"
"353","barely","arrived",1,"pre1850s"
"354","barnes","family",1,"pre1850s"
"355","barnes's","innocence",1,"pre1850s"
"356","barney","bradford",1,"pre1850s"
"357","bas","produced",1,"pre1850s"
"358","base","coin",1,"pre1850s"
"359","base","means",1,"pre1850s"
"360","belgian","carrots",1,"pre1850s"
"361","bibtinued","standing",1,"pre1850s"
"362","bid","bim",1,"pre1850s"
"363","billets","des",1,"pre1850s"
"364","bim","prepare",1,"pre1850s"
"365","birney's","intended",1,"pre1850s"
"366","birth","song",1,"pre1850s"
"367","bis","ballot",1,"pre1850s"
"368","bis","hende",1,"pre1850s"
"369","bishland's","hands",1,"pre1850s"
"370","bishop","immediately",1,"pre1850s"
"371","bishop's","hands",1,"pre1850s"
"372","bisland's","planta",1,"pre1850s"
"373","bitter","persecution",1,"pre1850s"
"374","black","persons",1,"pre1850s"
"375","blackguard","named",1,"pre1850s"
"376","ble","citizens",1,"pre1850s"
"377","ble","farms",1,"pre1850s"
"378","blithe","waterspirits",1,"pre1850s"
"379","blondthirsty","villains",1,"pre1850s"
"380","blood","cut",1,"pre1850s"
"381","blood","hung",1,"pre1850s"
"382","blood","wich",1,"pre1850s"
"383","blooded","butchery",1,"pre1850s"
"384","bloody","execution",1,"pre1850s"
"385","bloody","fude",1,"pre1850s"
"386","blue","laws",1,"pre1850s"
"387","bluff","honesty",1,"pre1850s"
"388","bo","parentnew",1,"pre1850s"
"389","boat","running",1,"pre1850s"
"390","bodily","harm.great",1,"pre1850s"
"391","body","found",1,"pre1850s"
"392","body","guard",1,"pre1850s"
"393","body","pass",1,"pre1850s"
"394","body","tarreded",1,"pre1850s"
"395","bonds","agreeably",1,"pre1850s"
"396","boon","county",1,"pre1850s"
"397","bort","hackstaff",1,"pre1850s"
"398","boston","common",1,"pre1850s"
"399","boston","daily",1,"pre1850s"
"400","bourbon","coun",1,"pre1850s"
"401","bradford","formed",1,"pre1850s"
"402","brazos","st",1,"pre1850s"
"403","breeding","mares",1,"pre1850s"
"404","bridge","lynched",1,"pre1850s"
"405","bridge","pro",1,"pre1850s"
"406","bright","eyes",1,"pre1850s"
"407","bring","offenders",1,"pre1850s"
"408","bringing","advices",1,"pre1850s"
"409","british","naval",1,"pre1850s"
"410","british","north",1,"pre1850s"
"411","british","parliament",1,"pre1850s"
"412","british","provinces",1,"pre1850s"
"413","british","sailors",1,"pre1850s"
"414","british","ship",1,"pre1850s"
"415","british","soldiers",1,"pre1850s"
"416","british","subjects",1,"pre1850s"
"417","brought","150,000",1,"pre1850s"
"418","brought","sixty",1,"pre1850s"
"419","brownsville","information",1,"pre1850s"
"420","brutal","mandate",1,"pre1850s"
"421","brutal","treatment",1,"pre1850s"
"422","bsutally","treated",1,"pre1850s"
"423","building","act",1,"pre1850s"
"424","bullets","rattled",1,"pre1850s"
"425","buren","intelligencer",1,"pre1850s"
"426","buren","locofocos",1,"pre1850s"
"427","burlington","succeeded",1,"pre1850s"
"428","burns","cath",1,"pre1850s"
"429","butter","1",1,"pre1850s"
"430","butting","finally",1,"pre1850s"
"431","byard","body",1,"pre1850s"
"432","cabinet","maker",1,"pre1850s"
"433","caddo","de",1,"pre1850s"
"434","cal","proof",1,"pre1850s"
"435","california","capt",1,"pre1850s"
"436","call","lynch",1,"pre1850s"
"437","callicoe","shirt",1,"pre1850s"
"438","camel","loads",1,"pre1850s"
"439","canal","bonds",1,"pre1850s"
"440","canal","yelling",1,"pre1850s"
"441","cannon","loaded",1,"pre1850s"
"442","canton","reporter",1,"pre1850s"
"443","capital","convic",1,"pre1850s"
"444","capital","offence",1,"pre1850s"
"445","capt","barney",1,"pre1850s"
"446","capt","brad",1,"pre1850s"
"447","capt","bradford",1,"pre1850s"
"448","capt","dar",1,"pre1850s"
"449","capt","dearborn",1,"pre1850s"
"450","capt","goddard",1,"pre1850s"
"451","capt","grayson",1,"pre1850s"
"452","capt","shaw",1,"pre1850s"
"453","captain","mackenzie",1,"pre1850s"
"454","card","play",1,"pre1850s"
"455","carpenters","command",1,"pre1850s"
"456","carried","rifles",1,"pre1850s"
"457","carroll","à",1,"pre1850s"
"458","cast","bis",1,"pre1850s"
"459","catholic","churches",1,"pre1850s"
"460","cattle","running",1,"pre1850s"
"461","caucasian","race",1,"pre1850s"
"462","caught","completely",1,"pre1850s"
"463","caught","steal",1,"pre1850s"
"464","causs","belli",1,"pre1850s"
"465","ceaseless","progress",1,"pre1850s"
"466","ceived","eleven",1,"pre1850s"
"467","cent","commission",1,"pre1850s"
"468","centreville","md",1,"pre1850s"
"469","change","bank",1,"pre1850s"
"470","change","past",1,"pre1850s"
"471","chanyet","live",1,"pre1850s"
"472","charge","1",1,"pre1850s"
"473","charge","ten",1,"pre1850s"
"474","charged","onder",1,"pre1850s"
"475","chartres","street",1,"pre1850s"
"476","cherokee","nation",1,"pre1850s"
"477","chest","broken",1,"pre1850s"
"478","chicago","democrat",1,"pre1850s"
"479","chicago","illinois",1,"pre1850s"
"480","chief","united",1,"pre1850s"
"481","chiefly","teas",1,"pre1850s"
"482","children","disguised",1,"pre1850s"
"483","children","escaped",1,"pre1850s"
"484","children","weeping",1,"pre1850s"
"485","chilian","servant",1,"pre1850s"
"486","cholera","delay",1,"pre1850s"
"487","chombe","farm",1,"pre1850s"
"488","choral","attack",1,"pre1850s"
"489","chosen","evidence",1,"pre1850s"
"490","christian","freedom",1,"pre1850s"
"491","christian","soldiers",1,"pre1850s"
"492","chronic","disease",1,"pre1850s"
"493","chronicle","foremost",1,"pre1850s"
"494","church","mem",1,"pre1850s"
"495","ci","cumstances",1,"pre1850s"
"496","cincinnati","gazetto",1,"pre1850s"
"497","cincinnati","local",1,"pre1850s"
"498","cincinnati","post",1,"pre1850s"
"499","circuit","court",1,"pre1850s"
"500","circuit","preacher",1,"pre1850s"
"501","citizen","thomas",1,"pre1850s"
"502","citizens","insulted",1,"pre1850s"
"503","citizens","lent",1,"pre1850s"
"504","citizens","repaired",1,"pre1850s"
"505","citizens","stole",1,"pre1850s"
"506","city","brought",1,"pre1850s"
"507","city","capa",1,"pre1850s"
"508","city","council",1,"pre1850s"
"509","city","diseases",1,"pre1850s"
"510","city","functionary",1,"pre1850s"
"511","city","government",1,"pre1850s"
"512","city","lynched",1,"pre1850s"
"513","city","yesterday",1,"pre1850s"
"514","civil","authorities",1,"pre1850s"
"515","civil","law",1,"pre1850s"
"516","civil","power",1,"pre1850s"
"517","clamorous","grief",1,"pre1850s"
"518","clan","precisely",1,"pre1850s"
"519","clearest","evidences",1,"pre1850s"
"520","clinton","la",1,"pre1850s"
"521","close","shaved",1,"pre1850s"
"522","closed","mails",1,"pre1850s"
"523","clothing","sells",1,"pre1850s"
"524","cloud","grew",1,"pre1850s"
"525","coadjutorshave","raised",1,"pre1850s"
"526","cocked","guns",1,"pre1850s"
"527","col","benton",1,"pre1850s"
"528","col","davenport",1,"pre1850s"
"529","col","mason",1,"pre1850s"
"530","col","mason's",1,"pre1850s"
"531","col","walworth",1,"pre1850s"
"532","col","william's",1,"pre1850s"
"533","colaborer","parson",1,"pre1850s"
"534","cold","hand",1,"pre1850s"
"535","cold","night",1,"pre1850s"
"536","colleague","senator",1,"pre1850s"
"537","collected","blood",1,"pre1850s"
"538","colonel","turk's",1,"pre1850s"
"539","colonel","washington",1,"pre1850s"
"540","colored","freemasons",1,"pre1850s"
"541","colored","menthe",1,"pre1850s"
"542","coming","generations",1,"pre1850s"
"543","coming","shock",1,"pre1850s"
"544","commercial","news",1,"pre1850s"
"545","committed","murder",1,"pre1850s"
"546","committed","robberies",1,"pre1850s"
"547","committee","appointed",1,"pre1850s"
"548","committee","paid",1,"pre1850s"
"549","committing","depredatiens",1,"pre1850s"
"550","commodore","jones's",1,"pre1850s"
"551","common","custom",1,"pre1850s"
"552","companion","died",1,"pre1850s"
"553","company","driskell",1,"pre1850s"
"554","company","finish",1,"pre1850s"
"555","company","returned",1,"pre1850s"
"556","comparatively","uninteresting",1,"pre1850s"
"557","complete","possession",1,"pre1850s"
"558","completed","attention",1,"pre1850s"
"559","completely","gutting",1,"pre1850s"
"560","completely","overstocked",1,"pre1850s"
"561","complexion","habits",1,"pre1850s"
"562","complexions","beggars",1,"pre1850s"
"563","compositions","developing",1,"pre1850s"
"564","comthat","fatal",1,"pre1850s"
"565","con","amid",1,"pre1850s"
"566","con","feiters",1,"pre1850s"
"567","cone","hesion",1,"pre1850s"
"568","confession","implicating",1,"pre1850s"
"569","congregation","included",1,"pre1850s"
"570","congress","annually",1,"pre1850s"
"571","conrts","justice",1,"pre1850s"
"572","conscientiously","vindicate",1,"pre1850s"
"573","conscious","innocence",1,"pre1850s"
"574","consequent","war",1,"pre1850s"
"575","conservative","statesmanquently",1,"pre1850s"
"576","considerable","curiosity",1,"pre1850s"
"577","considerable","resistence",1,"pre1850s"
"578","considerably","albeit",1,"pre1850s"
"579","consolidated","mighty",1,"pre1850s"
"580","consul","purchased",1,"pre1850s"
"581","consumption","asthma",1,"pre1850s"
"582","continued","annoyance",1,"pre1850s"
"583","continues","plenty",1,"pre1850s"
"584","contradictory","statements",1,"pre1850s"
"585","controlable","violence",1,"pre1850s"
"586","converting","starch",1,"pre1850s"
"587","convic","shalt",1,"pre1850s"
"588","convicted","capitally",1,"pre1850s"
"589","cook","purposely",1,"pre1850s"
"590","cords","arranged",1,"pre1850s"
"591","coroners","inquest",1,"pre1850s"
"592","corporate","limit",1,"pre1850s"
"593","corwin","electrified",1,"pre1850s"
"594","corwin's","birth",1,"pre1850s"
"595","cotton","press",1,"pre1850s"
"596","couleur","de",1,"pre1850s"
"597","coun","dr",1,"pre1850s"
"598","council","met",1,"pre1850s"
"599","count","de",1,"pre1850s"
"600","counterfeit","money",1,"pre1850s"
"601","counterfeit","notes",1,"pre1850s"
"602","counterfeiters","horse",1,"pre1850s"
"603","counties","collected",1,"pre1850s"
"604","counties","immediately",1,"pre1850s"
"605","country","deemed",1,"pre1850s"
"606","country","immediately",1,"pre1850s"
"607","country","munity",1,"pre1850s"
"608","country","papers",1,"pre1850s"
"609","country","remains",1,"pre1850s"
"610","country","suppos",1,"pre1850s"
"611","country","thanking",1,"pre1850s"
"612","country","utterance",1,"pre1850s"
"613","county","ark",1,"pre1850s"
"614","county","culpep",1,"pre1850s"
"615","county","florida",1,"pre1850s"
"616","county","jail",1,"pre1850s"
"617","county","ky",1,"pre1850s"
"618","county","md",1,"pre1850s"
"619","county","murdering",1,"pre1850s"
"620","county","officers",1,"pre1850s"
"621","county","tenn",1,"pre1850s"
"622","county","terms",1,"pre1850s"
"623","county","va",1,"pre1850s"
"624","courage","inspired",1,"pre1850s"
"625","court","blood",1,"pre1850s"
"626","court","greatly",1,"pre1850s"
"627","cowardly","oppresso",1,"pre1850s"
"628","cracked","fearfully",1,"pre1850s"
"629","created","managed",1,"pre1850s"
"630","credis","succeeded",1,"pre1850s"
"631","credit","reality",1,"pre1850s"
"632","crew","arrived",1,"pre1850s"
"633","cried","turk",1,"pre1850s"
"634","crimes","punishment",1,"pre1850s"
"635","criminal","industry",1,"pre1850s"
"636","cross","creek",1,"pre1850s"
"637","crowbars","8",1,"pre1850s"
"638","crowd","seized",1,"pre1850s"
"639","crown","glittered",1,"pre1850s"
"640","cruste","ice",1,"pre1850s"
"641","cunard","boat",1,"pre1850s"
"642","cunning","evolutions",1,"pre1850s"
"643","curious","particulars",1,"pre1850s"
"644","custard","pie",1,"pre1850s"
"645","cut","reason",1,"pre1850s"
"646","cœun","ylynch",1,"pre1850s"
"647","d's","watch",1,"pre1850s"
"648","d.skills","caught",1,"pre1850s"
"649","daily","advertiser",1,"pre1850s"
"650","daily","arriving",1,"pre1850s"
"651","daily","realized",1,"pre1850s"
"652","daily","times",1,"pre1850s"
"653","dake","james",1,"pre1850s"
"654","daniel","cummins",1,"pre1850s"
"655","danville","ky",1,"pre1850s"
"656","dark","form",1,"pre1850s"
"657","dastardly","deserter",1,"pre1850s"
"658","dated","gadiz",1,"pre1850s"
"659","dated","la",1,"pre1850s"
"660","dated","washington",1,"pre1850s"
"661","day","afternoon",1,"pre1850s"
"662","day","fighting",1,"pre1850s"
"663","day","ground",1,"pre1850s"
"664","day","saints",1,"pre1850s"
"665","day","time",1,"pre1850s"
"666","day's","labor",1,"pre1850s"
"667","day's","treasure",1,"pre1850s"
"668","days","20th",1,"pre1850s"
"669","days","ago",1,"pre1850s"
"670","de","paris",1,"pre1850s"
"671","de","rose",1,"pre1850s"
"672","de","ulloa",1,"pre1850s"
"673","de","ville",1,"pre1850s"
"674","dead","body",1,"pre1850s"
"675","dead","cried",1,"pre1850s"
"676","dead","instantly",1,"pre1850s"
"677","deafening","roar",1,"pre1850s"
"678","deal","alarmed",1,"pre1850s"
"679","dear","jonesborough",1,"pre1850s"
"680","death","arose",1,"pre1850s"
"681","death","charged",1,"pre1850s"
"682","death","giving",1,"pre1850s"
"683","death","steal",1,"pre1850s"
"684","dec","25",1,"pre1850s"
"685","declared","majority",1,"pre1850s"
"686","deed","harden",1,"pre1850s"
"687","deemed","pending",1,"pre1850s"
"688","deep","impression",1,"pre1850s"
"689","deep","regret",1,"pre1850s"
"690","deep","silent",1,"pre1850s"
"691","deeply","involved",1,"pre1850s"
"692","deeply","regret",1,"pre1850s"
"693","defect","lynch",1,"pre1850s"
"694","defenceless","females",1,"pre1850s"
"695","defend","extend",1,"pre1850s"
"696","defrauded","soldiers",1,"pre1850s"
"697","defray","expenses",1,"pre1850s"
"698","degraded","colored",1,"pre1850s"
"699","delphia","surrender",1,"pre1850s"
"700","deluded","girl",1,"pre1850s"
"701","demi","god",1,"pre1850s"
"702","dens","0",1,"pre1850s"
"703","departure","produced",1,"pre1850s"
"704","deposition","tak",1,"pre1850s"
"705","deputy","marshal",1,"pre1850s"
"706","der","mur",1,"pre1850s"
"707","ders","suspen",1,"pre1850s"
"708","des","municipalites",1,"pre1850s"
"709","deserted","col",1,"pre1850s"
"710","desirable","operation",1,"pre1850s"
