"","ID","Date","URL","Y/N - Describes a Lynching?","Notes","Reviewed by TE","Notes from TE","rsw questions","...1","...2","article_id","sn","newspaper_name","year","month","day","page","edition","mod_id","newspaper_state","file_id2","index"
"20",15950,1835-09-29,"https://articleextractor.org/pages/15950/vi_armani_ver02/sn84024735/1835/09/29/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",15944,1835-10-09,"https://articleextractor.org/pages/15944/vi_armani_ver02/sn84024735/1835/10/09/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",5010,1835-10-09,"https://articleextractor.org/pages/5010/vi_naturals_ver01/sn84024735/1835/10/09/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",15947,1835-10-13,"https://articleextractor.org/pages/15947/vi_armani_ver02/sn84024735/1835/10/13/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",15942,1835-10-13,"https://articleextractor.org/pages/15942/vi_naturals_ver01/sn84024735/1835/10/13/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",15957,1835-10-20,"https://articleextractor.org/pages/15957/vi_armani_ver02/sn84024735/1835/10/20/ed-1/seq-2/0?user_id=10","Yes",NA,"x","-Mentions the lynching of 5 gamblers at Vicksburg without a trial.                                     -9 people 2 abolition preachers and seven negroes in Livingston, Mississippi. Newspaper published in 1835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",15956,1835-10-20,"https://articleextractor.org/pages/15956/vi_naturals_ver01/sn84024735/1835/10/20/ed-1/seq-2/0?user_id=10","Yes",NA,"Duplicate newspaper as the one above","-Mentions the lynching of 5 gamblers at Vicksburg without a trial.                                     -9 people 2 abolition preachers and seven negroes in Livingston, Mississippi. Newspaper published in 1835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",15945,1835-10-22,"https://articleextractor.org/pages/15945/vi_dartmoor_ver03/sn84024649/1835/10/22/ed-1/seq-1/0?user_id=10","Yes",NA,"x","-Mentions the lynching of 5 gamblers at Vicksburg without a trial.                                     -9 people 2 abolition preachers and seven negroes in Livingston, Mississippi. Newspaper published in 1835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",3215,1835-10-27,"https://articleextractor.org/pages/3215/vi_armani_ver02/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",16494,1835-10-27,"https://articleextractor.org/pages/16494/vi_naturals_ver01/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=10","No",NA,"Duplicate newspaper as the one above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",15985,1836-01-04,"https://articleextractor.org/pages/15985/vi_aquasox_ver01/sn85025007/1836/01/04/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",7522,1836-02-26,"https://articleextractor.org/pages/7522/ohi_carrie_ver01/sn88078471/1836/02/26/ed-1/seq-1/0?user_id=10","Unreadable",NA,"x","Text is in another language.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",15989,1836-03-05,"https://articleextractor.org/pages/15989/vi_armani_ver02/sn84024735/1836/03/05/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",16456,1836-03-22,"https://articleextractor.org/pages/16456/vi_armani_ver02/sn84024735/1836/03/22/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",15986,1836-03-22,"https://articleextractor.org/pages/15986/vi_naturals_ver01/sn84024735/1836/03/22/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",15962,1836-06-02,"https://articleextractor.org/pages/15962/wvu_jacob_ver01/sn84026784/1836/06/02/ed-1/seq-1/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",15983,1836-06-18,"https://articleextractor.org/pages/15983/vi_aquasox_ver01/sn85025007/1836/06/18/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",15984,1836-06-21,"https://articleextractor.org/pages/15984/vtu_graniteville_ver01/sn84023199/1836/06/21/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",15987,1836-07-14,"https://articleextractor.org/pages/15987/vtu_kirby_ver02/sn83025661/1836/07/14/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2875,1836-08-13,"https://articleextractor.org/pages/2875/wvu_queen_ver01/sn84026826/1836/08/13/ed-1/seq-1/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",6317,1836-08-30,"https://articleextractor.org/pages/6317/vtu_graniteville_ver01/sn84023199/1836/08/30/ed-1/seq-1/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",16454,1836-10-06,"https://articleextractor.org/pages/16454/wvu_jacob_ver01/sn84026784/1836/10/06/ed-1/seq-1/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",15968,1836-10-28,"https://articleextractor.org/pages/15968/vi_armani_ver02/sn84024735/1836/10/28/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",5014,1836-10-28,"https://articleextractor.org/pages/15968/vi_armani_ver02/sn84024735/1836/10/28/ed-1/seq-4/0?user_id=10","No",NA,"Duplicate newspaper as the one above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",14154,1836-11-09,"https://articleextractor.org/pages/14154/mimtptc_alpena_ver01/sn83016620/1836/11/09/ed-1/seq-1/0?user_id=10","Yes","Murdered by a mob. He came into town on business near Chillicothe of Mr. Edward Weed","x","Mr. Weed, an abolitionist left town, was followed by the mob. ...""himself suspened a tree by a rope of bark until he was dead""","what town, state?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",15974,1836-11-15,"https://articleextractor.org/pages/15974/vi_armani_ver02/sn84024735/1836/11/15/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",16459,1836-11-18,"https://articleextractor.org/pages/16459/ncu_hawk_ver02/sn84026472/1836/11/18/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",15965,1836-11-21,"https://articleextractor.org/pages/15965/vi_dartmoor_ver03/sn84024649/1836/11/21/ed-1/seq-1/0?user_id=10","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",15980,1836-12-01,"https://articleextractor.org/pages/15980/wvu_jacob_ver01/sn84026784/1836/12/01/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",15976,1836-12-20,"https://articleextractor.org/pages/15976/msar_lightningbolt_ver03/sn87065592/1836/12/20/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",15973,1837-01-25,"https://articleextractor.org/pages/15973/vtu_kirby_ver02/sn83025661/1837/01/25/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",15967,1837-02-21,"https://articleextractor.org/pages/15967/msar_lightningbolt_ver03/sn87065592/1837/02/21/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",6330,1837-03-15,"https://articleextractor.org/pages/6330/vtu_kirby_ver02/sn83025661/1837/03/15/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",7950,1837-04-12,"https://articleextractor.org/pages/7950/ncu_alligator_ver01/sn85042147/1837/04/12/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",16475,1837-05-04,"https://articleextractor.org/pages/16475/vi_dartmoor_ver03/sn84024649/1837/05/04/ed-1/seq-3/0?user_id=10","No",NA,"x","Will note text is significantly faded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",16530,1837-05-20,"https://articleextractor.org/pages/16530/in_indianapolisolympians_ver02/sn82016416/1837/05/20/ed-1/seq-1/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",16493,1837-06-29,"https://articleextractor.org/pages/16493/dlc_laceflower_ver01/sn83030312/1837/06/29/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",15874,NA,"https://articleextractor.org/pages/15874/dlc_elf_ver03/sn82014763/1851/05/10/ed-1/seq-1/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",4999,1851-05-10,"https://articleextractor.org/pages/4999/dlc_laceflower_ver01/sn83030313/1851/06/03/ed-1/seq-1/0?user_id=10","Yes","In the death certificates, they gave death dates for two people but did not describe what happened to them. Five men were also lynched for horse stealing.","x","Man informed newspaper that 5 men were hung at Beatties Ferry beyond Stockton for horse stealing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",15878,1851-06-03,"https://articleextractor.org/pages/15878/dlc_alicanto_ver02/sn82014594/1851/06/07/ed-1/seq-3/0?user_id=10","Yes","El Paso lynching mentioned","x","15 people were lynched in El Paso, Texas. Article published in 1851.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",16531,1851-06-07,"https://articleextractor.org/pages/16531/in_fairmount_ver02/sn87056240/1851/06/11/ed-1/seq-2/0?user_id=10","Yes and no?","The man in Cuba was execute bevause he refused to rat his friends out, I do not think that they lynched him persay.","x","Execution of a Cuban. Does not work for our research.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,1851-06-11,"https://articleextractor.org/pages/5068/vtu_fennal_ver01/sn83025661/1840/04/29/ed-1/seq-2/0?user_id=6","No","Vermont telegraph (Brandon [Vt.] describes lynching activities in the South, maybe New Orleans or Mississippi. Article wasn't clear","x","Mentions lynching but does not have additional details such as a specific case.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",8407,1852-07-29,"https://articleextractor.org/pages/8407/ohi_edgar_ver01/sn85038121/1852/07/29/ed-1/seq-2/1",NA,NA,NA,NA,NA,176,486291,0,"sn85038121","Gallipolis journal (Gallipolis, Ohi...)",1852,7,29,"seq-2","ed-1",1,"Ohio","8407_0",2671
"74",8409,1851-06-05,"https://articleextractor.org/pages/8409/lu_diglett_ver01/sn82015378/1851/06/05/ed-1/seq-2/1",NA,NA,NA,NA,NA,178,226240,0,"sn82015378","The daily crescent ([New Orleans, L...)",1851,6,5,"seq-2","ed-1",1,"Louisiana","8409_0",2673
"75",8411,1852-07-02,"https://articleextractor.org/pages/8411/dlc_elf_ver03/sn82014764/1852/07/02/ed-1/seq-2/1",NA,NA,NA,NA,NA,179,44141,0,"sn82014764","The southern press (Washington [D.C...)",1852,7,2,"seq-2","ed-1",1,"District of Columbia","8411_0",2674
"76",8414,1853-05-05,"https://articleextractor.org/pages/8414/ohi_drake_ver01/sn88078726/1853/05/05/ed-1/seq-2/1",NA,NA,NA,NA,NA,182,483795,0,"sn88078726",NA,1853,5,5,"seq-2","ed-1",1,"Ohio","8414_0",2677
"77",8424,1858-06-30,"https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/06/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,191,478536,0,"sn83035143","Cleveland morning leader (Cleveland [Ohio...)",1858,6,30,"seq-2","ed-1",1,"Ohio","8424_0",2686
"78",8424,1858-06-30,"https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/06/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,192,478585,1,"sn83035143","Cleveland morning leader (Cleveland [Ohio...)",1858,6,30,"seq-2","ed-1",1,"Ohio","8424_1",2687
"79",8424,1858-06-30,"https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/06/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,193,478587,2,"sn83035143","Cleveland morning leader (Cleveland [Ohio...)",1858,6,30,"seq-2","ed-1",1,"Ohio","8424_2",2688
"80",8424,1858-06-30,"https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/06/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,194,478590,3,"sn83035143","Cleveland morning leader (Cleveland [Ohio...)",1858,6,30,"seq-2","ed-1",1,"Ohio","8424_3",2689
"81",8428,1857-04-12,"https://articleextractor.org/pages/8428/dlc_collins_ver01/sn83030364/1857/04/12/ed-1/seq-6/1",NA,NA,NA,NA,NA,197,39742,0,"sn83030364","New-York dispatch (New York [N.Y.])",1857,4,12,"seq-6","ed-1",1,"New York","8428_0",2692
"82",8440,1854-10-26,"https://articleextractor.org/pages/8440/scu_cootiestark_ver01/sn84026897/1854/10/26/ed-1/seq-1/1",NA,NA,NA,NA,NA,205,521750,0,"sn84026897","Edgefield advertiser (Edgefield, S.C.)",1854,10,26,"seq-1","ed-1",1,"South Carolina","8440_0",2700
"83",8446,1855-10-05,"https://articleextractor.org/pages/8446/vi_manowar_ver01/sn84024738/1855/10/05/ed-1/seq-1/1",NA,NA,NA,NA,NA,210,641942,0,"sn84024738","The daily dispatch (Richmond [Va.])",1855,10,5,"seq-1","ed-1",1,"Virginia","8446_0",2705
"84",8477,1853-09-08,"https://articleextractor.org/pages/8477/vi_exmoor_ver01/sn85034360/1853/09/08/ed-1/seq-2/1",NA,NA,NA,NA,NA,244,632467,0,"sn85034360","Lynchburg daily Virginian (Lynchburg [Va.])",1853,9,8,"seq-2","ed-1",1,"Virginia","8477_0",2739
"85",8481,1854-01-11,"https://articleextractor.org/pages/8481/lu_pearse_ver01/sn82015753/1854/01/11/ed-1/seq-2/1",NA,NA,NA,NA,NA,247,227496,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1854,1,11,"seq-2","ed-1",1,"Louisiana","8481_0",2742
"86",8720,1849-12-29,"https://articleextractor.org/pages/8720/ohi_byrd_ver01/sn85038115/1849/12/29/ed-1/seq-1/1",NA,NA,NA,NA,NA,417,472842,0,"sn85038115","The spirit of democracy (Woodsfield, Ohi...)",1849,12,29,"seq-1","ed-1",1,"Ohio","8720_0",2923
"87",8721,1859-10-17,"https://articleextractor.org/pages/8721/vi_icelandic_ver01/sn85025697/1859/10/17/ed-1/seq-2/1",NA,NA,NA,NA,NA,418,636638,0,"sn85025697","The day book (Norfolk, Va.)",1859,10,17,"seq-2","ed-1",1,"Virginia","8721_0",2924
"88",8722,1859-12-29,"https://articleextractor.org/pages/8722/khi_brown_ver01/sn82015486/1859/12/29/ed-1/seq-2/1",NA,NA,NA,NA,NA,419,186244,0,"sn82015486","White Cloud Kansas chief (White Cloud, Ka...)",1859,12,29,"seq-2","ed-1",1,"Kansas","8722_0",2925
"89",8724,1858-06-30,"https://articleextractor.org/pages/8724/ohi_ariel_ver02/sn84028385/1858/06/30/ed-1/seq-1/1",NA,NA,NA,NA,NA,420,467937,0,"sn84028385","Western Reserve chronicle (Warren, Ohio)",1858,6,30,"seq-1","ed-1",1,"Ohio","8724_0",2926
"90",8726,1860-05-05,"https://articleextractor.org/pages/8726/ncu_jefferson_ver02/sn84020750/1860/05/05/ed-1/seq-3/1",NA,NA,NA,NA,NA,422,383866,0,"sn84020750","The North-Carolinian (Fayetteville [N...)",1860,5,5,"seq-3","ed-1",1,"North Carolina","8726_0",2928
"91",8734,1859-11-01,"https://articleextractor.org/pages/8734/dlc_belmont_ver02/sn82014511/1859/11/01/ed-1/seq-2/1",NA,NA,NA,NA,NA,433,38308,0,"sn82014511","The press and tribune (Chicago, Ill.)",1859,11,1,"seq-2","ed-1",1,"Illinois","8734_0",2939
"92",8739,1860-09-19,"https://articleextractor.org/pages/8739/tu_dolly_ver01/sn85038518/1860/09/19/ed-1/seq-3/1",NA,NA,NA,NA,NA,435,567530,0,"sn85038518","Nashville union and American (Nashville, Tenn...)",1860,9,19,"seq-3","ed-1",1,"Tennessee","8739_0",2941
"93",13735,1850-08-01,"https://articleextractor.org/pages/13735/pst_kern_ver01/sn86071377/1850/08/01/ed-1/seq-3/1",NA,NA,NA,NA,NA,865,521673,0,"sn86071377","The mountain sentinel (Ebensburg, Pa.)",1850,8,1,"seq-3","ed-1",1,"Pennsylvania","13735_0",1
"94",13752,1843-05-14,"https://articleextractor.org/pages/13752/dlc_kudzu_ver01/sn83030313/1843/05/14/ed-1/seq-2/1",NA,NA,NA,NA,NA,878,52522,0,"sn83030313","The New York herald (New York [N.Y.])",1843,5,14,"seq-2","ed-1",1,"New York","13752_0",15
"95",13753,1848-07-09,"https://articleextractor.org/pages/13753/dlc_marcus_ver01/sn83030313/1848/07/09/ed-1/seq-2/1",NA,NA,NA,NA,NA,879,55247,0,"sn83030313","The New York herald (New York [N.Y.])",1848,7,9,"seq-2","ed-1",1,"New York","13753_0",16
"96",13754,1854-03-28,"https://articleextractor.org/pages/13754/mimtptc_beulah_ver01/sn85033637/1854/03/28/ed-1/seq-2/1",NA,NA,NA,NA,NA,880,236467,0,"sn85033637","The Hillsdale standard (Hillsdale, Mich...)",1854,3,28,"seq-2","ed-1",1,"Michigan","13754_0",17
"97",13755,1855-08-14,"https://articleextractor.org/pages/13755/mimtptc_beulah_ver01/sn85033637/1855/08/14/ed-1/seq-2/1",NA,NA,NA,NA,NA,881,236486,0,"sn85033637","The Hillsdale standard (Hillsdale, Mich...)",1855,8,14,"seq-2","ed-1",1,"Michigan","13755_0",18
"98",13756,1856-01-11,"https://articleextractor.org/pages/13756/lu_pearse_ver01/sn82015753/1856/01/11/ed-1/seq-1/1",NA,NA,NA,NA,NA,882,227627,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1856,1,11,"seq-1","ed-1",1,"Louisiana","13756_0",19
"99",13757,1856-02-28,"https://articleextractor.org/pages/13757/ohi_drake_ver01/sn85026105/1856/02/28/ed-1/seq-1/1",NA,NA,NA,NA,NA,883,481023,0,"sn85026105","American Lancaster gazette (Lancaster, Ohio)",1856,2,28,"seq-1","ed-1",1,"Ohio","13757_0",20
"100",13758,1857-06-26,"https://articleextractor.org/pages/13758/vtu_graniteville_ver01/sn84023200/1857/06/26/ed-1/seq-2/1",NA,NA,NA,NA,NA,884,662788,0,"sn84023200","Vermont watchman and State journal (Montpelier, Vt.)",1857,6,26,"seq-2","ed-1",1,"Vermont","13758_0",21
"101",13759,1858-07-17,"https://articleextractor.org/pages/13759/ohi_ariel_ver02/sn83035487/1858/07/17/ed-1/seq-1/1",NA,NA,NA,NA,NA,885,467456,0,"sn83035487","Anti-slavery bugle (New-Lisbon, Ohi...)",1858,7,17,"seq-1","ed-1",1,"Ohio","13759_0",22
"102",13763,1859-07-28,"https://articleextractor.org/pages/13763/ohi_cobweb_ver04/sn85026192/1859/07/28/ed-1/seq-3/1",NA,NA,NA,NA,NA,886,474960,0,"sn85026192","The Perrysburg journal (Perrysburg, Ohi...)",1859,7,28,"seq-3","ed-1",1,"Ohio","13763_0",24
"103",13764,1859-01-08,"https://articleextractor.org/pages/13764/ohi_desdemona_ver01/sn83035143/1859/01/08/ed-1/seq-2/1",NA,NA,NA,NA,NA,887,478986,0,"sn83035143","Cleveland morning leader (Cleveland [Ohio...)",1859,1,8,"seq-2","ed-1",1,"Ohio","13764_0",25
"104",13766,1860-10-06,"https://articleextractor.org/pages/13766/ohi_guildenstern_ver01/sn84028745/1860/10/06/ed-1/seq-1/1",NA,NA,NA,NA,NA,889,492111,0,"sn84028745","Cincinnati daily press (Cincinnati [Ohi...)",1860,10,6,"seq-1","ed-1",1,"Ohio","13766_0",27
"105",13768,1861-01-02,"https://articleextractor.org/pages/13768/mnhi_datsun_ver01/sn85025569/1861/01/02/ed-1/seq-2/1",NA,NA,NA,NA,NA,890,253472,0,"sn85025569","Red Wing sentinel (Red Wing, M.T. ...)",1861,1,2,"seq-2","ed-1",1,"Minnesota","13768_0",28
