"","...1","index","file_id","newspaper_name","date","year","month","day","url","article_id","sn","newspaper_city","newspaper_state","black_press","edition","mod_id","article_title","collection","authors","document_type","issn","find_a_copy","filepath","file_id_old","file_id2_old","url_backup","page"
"11",341,346,"8669_5","The Washington bee",1892-07-09,1892,7,9,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891//1892/07/09/ed-1/seq-2/0?user_id=6",5,"sn84025891","Washington","District of Columbia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8669,"8669_5","https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","2"
"12",349,354,"8683_0","Iowa state bystander",1894-10-26,1894,10,26,"https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186//1894/10/26/ed-1/seq-1/0?user_id=6",0,"sn83025186","Des Moines","Iowa","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8683,"8683_0","https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186/10/26/ed-1/seq-1/1","1"
"13",350,355,"8683_1","Iowa state bystander",1894-10-26,1894,10,26,"https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186//1894/10/26/ed-1/seq-1/0?user_id=6",1,"sn83025186","Des Moines","Iowa","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8683,"8683_1","https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186/10/26/ed-1/seq-1/1","1"
"14",351,356,"8683_2","Iowa state bystander",1894-10-26,1894,10,26,"https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186//1894/10/26/ed-1/seq-1/0?user_id=6",2,"sn83025186","Des Moines","Iowa","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8683,"8683_2","https://articleextractor.org/pages/8683/iahi_ames_ver01/sn83025186/10/26/ed-1/seq-1/1","1"
"15",367,372,"8717_0","Huntsville gazette",1887-03-12,1887,3,12,"https://articleextractor.org/pages/8717/au_inman_ver01/sn84020151//1887/03/12/ed-1/seq-1/0?user_id=6",0,"sn84020151","Huntsville","Alabama","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8717,"8717_0","https://articleextractor.org/pages/8717/au_inman_ver01/sn84020151/3/12/ed-1/seq-1/1","1"
"16",368,373,"8717_1","Huntsville gazette",1887-03-12,1887,3,12,"https://articleextractor.org/pages/8717/au_inman_ver01/sn84020151//1887/03/12/ed-1/seq-1/0?user_id=6",1,"sn84020151","Huntsville","Alabama","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8717,"8717_1","https://articleextractor.org/pages/8717/au_inman_ver01/sn84020151/3/12/ed-1/seq-1/1","1"
"17",419,424,"8770_0","Iowa state bystander",1896-04-24,1896,4,24,"https://articleextractor.org/pages/8770/iahi_ames_ver01/sn83025186//1896/04/24/ed-1/seq-1/0?user_id=6",0,"sn83025186","Des Moines","Iowa","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8770,"8770_0","https://articleextractor.org/pages/8770/iahi_ames_ver01/sn83025186/4/24/ed-1/seq-1/1","1"
"18",486,492,"8852_0","Iowa state bystander",1898-11-11,1898,11,11,"https://articleextractor.org/pages/8852/iahi_ames_ver01/sn83025186//1898/11/11/ed-1/seq-4/0?user_id=6",0,"sn83025186","Des Moines","Iowa","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8852,"8852_0","https://articleextractor.org/pages/8852/iahi_ames_ver01/sn83025186/11/11/ed-1/seq-4/1","4"
"19",487,493,"8852_1","Iowa state bystander",1898-11-11,1898,11,11,"https://articleextractor.org/pages/8852/iahi_ames_ver01/sn83025186//1898/11/11/ed-1/seq-4/0?user_id=6",1,"sn83025186","Des Moines","Iowa","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8852,"8852_1","https://articleextractor.org/pages/8852/iahi_ames_ver01/sn83025186/11/11/ed-1/seq-4/1","4"
"20",537,543,"8920_0","The broad ax",1904-04-16,1904,4,16,"https://articleextractor.org/pages/8920/iune_charlie_ver01/sn84024055//1904/04/16/ed-1/seq-1/0?user_id=6",0,"sn84024055","Salt Lake City","Illinois","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8920,"8920_0","https://articleextractor.org/pages/8920/iune_charlie_ver01/sn84024055/4/16/ed-1/seq-1/1","1"
"21",551,557,"8953_0","Phoenix tribune",1918-08-17,1918,8,17,"https://articleextractor.org/pages/8953/az_campfiregoneout_ver03/sn96060881//1918/08/17/ed-1/seq-1/0?user_id=6",0,"sn96060881","Phoenix","Arizona","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8953,"8953_0","https://articleextractor.org/pages/8953/az_campfiregoneout_ver03/sn96060881/8/17/ed-1/seq-1/1","1"
"22",577,583,"9565_0","The Colorado statesman",1909-09-25,1909,9,25,"https://articleextractor.org/pages/9565/cohi_hamilton_ver01/sn83025514//1909/09/25/ed-1/seq-1/0?user_id=6",0,"sn83025514","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,9565,"9565_0","https://articleextractor.org/pages/9565/cohi_hamilton_ver01/sn83025514/9/25/ed-1/seq-1/1","1"
"23",587,593,"9572_0","The Muskogee cimeter",1907-12-13,1907,12,13,"https://articleextractor.org/pages/9572/okhi_beaver_ver01/sn83025060//1907/12/13/ed-1/seq-2/0?user_id=6",0,"sn83025060","Muskogee","Oklahoma","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,9572,"9572_0","https://articleextractor.org/pages/9572/okhi_beaver_ver01/sn83025060/12/13/ed-1/seq-2/1","2"
"24",599,606,"9588_0","Richmond planet",1920-01-03,1920,1,3,"https://articleextractor.org/pages/9588/vi_lauren_ver02/sn84025841//1920/01/03/ed-1/seq-10/0?user_id=6",0,"sn84025841","Richmond","Virginia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,9588,"9588_0","https://articleextractor.org/pages/9588/vi_lauren_ver02/sn84025841/1/3/ed-1/seq-10/1","10"
"25",602,609,"9593_0","The Detroit tribune",1946-11-16,1946,11,16,"https://articleextractor.org/pages/9593/mimtptc_albion_ver01/sn92063852//1946/11/16/ed-1/seq-16/0?user_id=6",0,"sn92063852","Detroit","Michigan","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,9593,"9593_0","https://articleextractor.org/pages/9593/mimtptc_albion_ver01/sn92063852/11/16/ed-1/seq-16/1","16"
"26",705,712,"9719_0","The Northwest enterprise",1932-02-04,1932,2,4,"https://articleextractor.org/pages/9719/wa_canvasback_ver02/sn87093377//1932/02/04/ed-1/seq-1/0?user_id=6",0,"sn87093377","Seattle","Washington","Y","ed-1",2,NA,"LOC",NA,NA,NA,NA,NA,9719,"9719_0","https://articleextractor.org/pages/9719/wa_canvasback_ver02/sn87093377/2/4/ed-1/seq-1/2","1"
"27",714,721,"9733_0","Minneapolis spokesman",1943-05-14,1943,5,14,"https://articleextractor.org/pages/9733/mnhi_croquet_ver01/sn83025247//1943/05/14/ed-1/seq-2/0?user_id=6",0,"sn83025247","Minneapolis","Minnesota","Y","ed-1",2,NA,"LOC",NA,NA,NA,NA,NA,9733,"9733_0","https://articleextractor.org/pages/9733/mnhi_croquet_ver01/sn83025247/5/14/ed-1/seq-2/2","2"
"28",715,722,"9733_1","Minneapolis spokesman",1943-05-14,1943,5,14,"https://articleextractor.org/pages/9733/mnhi_croquet_ver01/sn83025247//1943/05/14/ed-1/seq-2/0?user_id=6",1,"sn83025247","Minneapolis","Minnesota","Y","ed-1",2,NA,"LOC",NA,NA,NA,NA,NA,9733,"9733_1","https://articleextractor.org/pages/9733/mnhi_croquet_ver01/sn83025247/5/14/ed-1/seq-2/2","2"
"29",716,723,"9733_2","Minneapolis spokesman",1943-05-14,1943,5,14,"https://articleextractor.org/pages/9733/mnhi_croquet_ver01/sn83025247//1943/05/14/ed-1/seq-2/0?user_id=6",2,"sn83025247","Minneapolis","Minnesota","Y","ed-1",2,NA,"LOC",NA,NA,NA,NA,NA,9733,"9733_2","https://articleextractor.org/pages/9733/mnhi_croquet_ver01/sn83025247/5/14/ed-1/seq-2/2","2"
"30",767,774,"9815_0","The Colorado statesman",1911-10-21,1911,10,21,"https://articleextractor.org/pages/9815/cohi_hamilton_ver01/sn83025514//1911/10/21/ed-1/seq-4/0?user_id=6",0,"sn83025514","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,9815,"9815_0","https://articleextractor.org/pages/9815/cohi_hamilton_ver01/sn83025514/10/21/ed-1/seq-4/1","4"
"31",778,785,"9827_0","Metropolis weekly gazette",1919-09-19,1919,9,19,"https://articleextractor.org/pages/9827/iune_amethyst_ver01/sn89080007//1919/09/19/ed-1/seq-1/0?user_id=6",0,"sn89080007","Metropolis","Illinois","Y","ed-1",2,NA,"LOC",NA,NA,NA,NA,NA,9827,"9827_0","https://articleextractor.org/pages/9827/iune_amethyst_ver01/sn89080007/9/19/ed-1/seq-1/2","1"
"32",783,790,"9831_0","The Detroit tribune",1948-12-11,1948,12,11,"https://articleextractor.org/pages/9831/mimtptc_albion_ver01/sn92063852//1948/12/11/ed-1/seq-1/0?user_id=6",0,"sn92063852","Detroit","Michigan","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,9831,"9831_0","https://articleextractor.org/pages/9831/mimtptc_albion_ver01/sn92063852/12/11/ed-1/seq-1/1","1"
"33",784,791,"9833_0","The broad ax",1919-05-17,1919,5,17,"https://articleextractor.org/pages/9833/iune_charlie_ver01/sn84024055//1919/05/17/ed-1/seq-4/0?user_id=6",0,"sn84024055","Salt Lake City","Illinois","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,9833,"9833_0","https://articleextractor.org/pages/9833/iune_charlie_ver01/sn84024055/5/17/ed-1/seq-4/1","4"
"34",821,828,"13792_0","Huntsville gazette",1882-04-08,1882,4,8,"https://articleextractor.org/pages/13792/au_inman_ver01/sn84020151//1882/04/08/ed-1/seq-1/0?user_id=6",0,"sn84020151","Huntsville","Alabama","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,13792,"13792_0","https://articleextractor.org/pages/13792/au_inman_ver01/sn84020151/4/8/ed-1/seq-1/1","1"
"35",847,854,"13986_0","The Michigan chronicle",1939-07-29,1939,7,29,"https://articleextractor.org/pages/13986/mimtptc_clare_ver03/sn83045324//1939/07/29/ed-1/seq-2/0?user_id=6",0,"sn83045324","Detroit","Michigan","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,13986,"13986_0","https://articleextractor.org/pages/13986/mimtptc_clare_ver03/sn83045324/7/29/ed-1/seq-2/1","2"
"36",883,890,"14232_0","The Detroit tribune",1942-07-18,1942,7,18,"https://articleextractor.org/pages/14232/mimtptc_albion_ver01/sn92063852//1942/07/18/ed-1/seq-1/0?user_id=6",0,"sn92063852","Detroit","Michigan","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14232,"14232_0","https://articleextractor.org/pages/14232/mimtptc_albion_ver01/sn92063852/7/18/ed-1/seq-1/1","1"
"37",935,943,"14296_0","Franklins paper the statesman",1910-08-06,1910,8,6,"https://articleextractor.org/pages/14296/cohi_abbeyville_ver01/sn91052311//1910/08/06/ed-1/seq-3/0?user_id=6",0,"sn91052311","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14296,"14296_0","https://articleextractor.org/pages/14296/cohi_abbeyville_ver01/sn91052311/8/6/ed-1/seq-3/1","3"
"38",937,945,"14299_0","The Colorado statesman",1908-06-13,1908,6,13,"https://articleextractor.org/pages/14299/cohi_hamilton_ver01/sn83025514//1908/06/13/ed-1/seq-1/0?user_id=6",0,"sn83025514","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14299,"14299_0","https://articleextractor.org/pages/14299/cohi_hamilton_ver01/sn83025514/6/13/ed-1/seq-1/1","1"
"39",938,946,"14300_0","The Colorado statesman",1915-01-23,1915,1,23,"https://articleextractor.org/pages/14300/cohi_hamilton_ver01/sn83025514//1915/01/23/ed-1/seq-1/0?user_id=6",0,"sn83025514","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14300,"14300_0","https://articleextractor.org/pages/14300/cohi_hamilton_ver01/sn83025514/1/23/ed-1/seq-1/1","1"
"40",939,947,"14301_0","The Colorado statesman",1908-09-19,1908,9,19,"https://articleextractor.org/pages/14301/cohi_hamilton_ver01/sn83025514//1908/09/19/ed-1/seq-4/0?user_id=6",0,"sn83025514","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14301,"14301_0","https://articleextractor.org/pages/14301/cohi_hamilton_ver01/sn83025514/9/19/ed-1/seq-4/1","4"
"41",940,948,"14301_1","The Colorado statesman",1908-09-19,1908,9,19,"https://articleextractor.org/pages/14301/cohi_hamilton_ver01/sn83025514//1908/09/19/ed-1/seq-4/0?user_id=6",1,"sn83025514","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14301,"14301_1","https://articleextractor.org/pages/14301/cohi_hamilton_ver01/sn83025514/9/19/ed-1/seq-4/1","4"
"42",1028,1036,"14405_0","Phoenix tribune",1919-11-08,1919,11,8,"https://articleextractor.org/pages/14405/az_campfiregoneout_ver03/sn96060881//1919/11/08/ed-1/seq-1/0?user_id=6",0,"sn96060881","Phoenix","Arizona","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14405,"14405_0","https://articleextractor.org/pages/14405/az_campfiregoneout_ver03/sn96060881/11/8/ed-1/seq-1/1","1"
"43",1029,1037,"14406_0","Phoenix tribune",1922-07-22,1922,7,22,"https://articleextractor.org/pages/14406/az_campfiregoneout_ver03/sn96060881//1922/07/22/ed-1/seq-1/0?user_id=6",0,"sn96060881","Phoenix","Arizona","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14406,"14406_0","https://articleextractor.org/pages/14406/az_campfiregoneout_ver03/sn96060881/7/22/ed-1/seq-1/1","1"
"44",1030,1038,"14406_1","Phoenix tribune",1922-07-22,1922,7,22,"https://articleextractor.org/pages/14406/az_campfiregoneout_ver03/sn96060881//1922/07/22/ed-1/seq-1/0?user_id=6",1,"sn96060881","Phoenix","Arizona","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14406,"14406_1","https://articleextractor.org/pages/14406/az_campfiregoneout_ver03/sn96060881/7/22/ed-1/seq-1/1","1"
"45",1044,1052,"14424_0","The Colorado statesman",1924-05-03,1924,5,3,"https://articleextractor.org/pages/14424/cohi_hamilton_ver01/sn83025514//1924/05/03/ed-1/seq-1/0?user_id=6",0,"sn83025514","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14424,"14424_0","https://articleextractor.org/pages/14424/cohi_hamilton_ver01/sn83025514/5/3/ed-1/seq-1/1","1"
"46",1087,1097,"14482_0","The McDowell times",1913-11-21,1913,11,21,"https://articleextractor.org/pages/14482/wvu_phaser_ver02/sn86092050//1913/11/21/ed-1/seq-3/0?user_id=6",0,"sn86092050","Keystone","West Virginia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14482,"14482_0","https://articleextractor.org/pages/14482/wvu_phaser_ver02/sn86092050/11/21/ed-1/seq-3/1","3"
"47",1088,1098,"14485_0","The McDowell times",1917-10-05,1917,10,5,"https://articleextractor.org/pages/14485/wvu_phaser_ver02/sn86092050//1917/10/05/ed-1/seq-1/0?user_id=6",0,"sn86092050","Keystone","West Virginia","Y","ed-1",2,NA,"LOC",NA,NA,NA,NA,NA,14485,"14485_0","https://articleextractor.org/pages/14485/wvu_phaser_ver02/sn86092050/10/5/ed-1/seq-1/2","1"
"48",1089,1099,"14486_0","The McDowell times",1916-02-11,1916,2,11,"https://articleextractor.org/pages/14486/wvu_phaser_ver02/sn86092050//1916/02/11/ed-1/seq-2/0?user_id=6",0,"sn86092050","Keystone","West Virginia","Y","ed-1",2,NA,"LOC",NA,NA,NA,NA,NA,14486,"14486_0","https://articleextractor.org/pages/14486/wvu_phaser_ver02/sn86092050/2/11/ed-1/seq-2/2","2"
"49",1097,1107,"14502_0","The McDowell times",1939-03-10,1939,3,10,"https://articleextractor.org/pages/14502/wvu_neely_ver01/sn86092050//1939/03/10/ed-1/seq-4/0?user_id=6",0,"sn86092050","Keystone","West Virginia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14502,"14502_0","https://articleextractor.org/pages/14502/wvu_neely_ver01/sn86092050/3/10/ed-1/seq-4/1","4"
"50",1099,1109,"14505_0","The advocate",1908-07-02,1908,7,2,"https://articleextractor.org/pages/14505/wvu_lincoln_ver01/sn85059812//1908/07/02/ed-1/seq-1/0?user_id=6",0,"sn85059812","Charleston","West Virginia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14505,"14505_0","https://articleextractor.org/pages/14505/wvu_lincoln_ver01/sn85059812/7/2/ed-1/seq-1/1","1"
"51",1105,1115,"14517_0","Pioneer press",1912-11-30,1912,11,30,"https://articleextractor.org/pages/14517/wvu_gorn_ver01/sn83025146//1912/11/30/ed-1/seq-1/0?user_id=6",0,"sn83025146","Martinsburg","West Virginia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14517,"14517_0","https://articleextractor.org/pages/14517/wvu_gorn_ver01/sn83025146/11/30/ed-1/seq-1/1","1"
"52",1199,1209,"14623_0","The Wisconsin weekly blade",1919-03-29,1919,3,29,"https://articleextractor.org/pages/14623/whi_imp_ver01/sn84025842//1919/03/29/ed-1/seq-2/0?user_id=6",0,"sn84025842","Madison","Wisconsin","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14623,"14623_0","https://articleextractor.org/pages/14623/whi_imp_ver01/sn84025842/3/29/ed-1/seq-2/1","2"
"53",1200,1210,"14623_1","The Wisconsin weekly blade",1919-03-29,1919,3,29,"https://articleextractor.org/pages/14623/whi_imp_ver01/sn84025842//1919/03/29/ed-1/seq-2/0?user_id=6",1,"sn84025842","Madison","Wisconsin","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14623,"14623_1","https://articleextractor.org/pages/14623/whi_imp_ver01/sn84025842/3/29/ed-1/seq-2/1","2"
"54",1335,1349,"14736_0","The Seattle Republican",1901-08-16,1901,8,16,"https://articleextractor.org/pages/14736/wa_gilia_ver01/sn84025811//1901/08/16/ed-1/seq-1/0?user_id=6",0,"sn84025811","Seattle","Washington","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,14736,"14736_0","https://articleextractor.org/pages/14736/wa_gilia_ver01/sn84025811/8/16/ed-1/seq-1/1","1"
"55",1471,1485,"16917_0","Huntsville gazette",1882-08-19,1882,8,19,"https://articleextractor.org/pages/16917/au_inman_ver01/sn84020151//1882/08/19/ed-1/seq-3/0?user_id=6",0,"sn84020151","Huntsville","Alabama","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,16917,"16917_0","https://articleextractor.org/pages/16917/au_inman_ver01/sn84020151/8/19/ed-1/seq-3/1","3"
"56",1495,1512,"16949_0","The national era",1850-04-04,1850,4,4,"https://articleextractor.org/pages/16949/dlc_elf_ver03/sn84026752//1850/04/04/ed-1/seq-2/0?user_id=6",0,"sn84026752","Washington D.C.]","District of Columbia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,16949,"16949_0","https://articleextractor.org/pages/16949/dlc_elf_ver03/sn84026752/4/4/ed-1/seq-2/1","2"
"57",1624,1648,"17229_0","Jackson advocate",1949-07-23,1949,7,23,"https://articleextractor.org/pages/17229/msar_iron_ver01/sn79000083//1949/07/23/ed-1/seq-5/0?user_id=6",0,"sn79000083","Jackson","Mississippi","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17229,"17229_0","https://articleextractor.org/pages/17229/msar_iron_ver01/sn79000083/7/23/ed-1/seq-5/1","5"
"58",1628,1652,"17235_0","St Paul recorder",1947-12-26,1947,12,26,"https://articleextractor.org/pages/17235/mnhi_ekiden_ver02/sn83016804//1947/12/26/ed-1/seq-4/0?user_id=6",0,"sn83016804","St Paul","Minnesota","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17235,"17235_0","https://articleextractor.org/pages/17235/mnhi_ekiden_ver02/sn83016804/12/26/ed-1/seq-4/1","4"
"59",1629,1653,"17237_0","The Michigan chronicle",1945-09-22,1945,9,22,"https://articleextractor.org/pages/17237/mimtptc_clare_ver03/sn83045324//1945/09/22/ed-1/seq-6/0?user_id=6",0,"sn83045324","Detroit","Michigan","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17237,"17237_0","https://articleextractor.org/pages/17237/mimtptc_clare_ver03/sn83045324/9/22/ed-1/seq-6/1","6"
"60",1631,1655,"17239_0","The Detroit tribune",1949-01-15,1949,1,15,"https://articleextractor.org/pages/17239/mimtptc_albion_ver01/sn92063852//1949/01/15/ed-1/seq-4/0?user_id=6",0,"sn92063852","Detroit","Michigan","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17239,"17239_0","https://articleextractor.org/pages/17239/mimtptc_albion_ver01/sn92063852/1/15/ed-1/seq-4/1","4"
"61",1633,1657,"17241_0","The Omaha guide",1948-08-14,1948,8,14,"https://articleextractor.org/pages/17241/nbu_fourtusker_ver01/sn93062828//1948/08/14/ed-1/seq-4/0?user_id=6",0,"sn93062828","Omaha","Nebraska","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17241,"17241_0","https://articleextractor.org/pages/17241/nbu_fourtusker_ver01/sn93062828/8/14/ed-1/seq-4/1","4"
"62",1636,1660,"17255_0","Minneapolis spokesman",1946-08-02,1946,8,2,"https://articleextractor.org/pages/17255/mnhi_croquet_ver01/sn83025247//1946/08/02/ed-1/seq-3/0?user_id=6",0,"sn83025247","Minneapolis","Minnesota","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17255,"17255_0","https://articleextractor.org/pages/17255/mnhi_croquet_ver01/sn83025247/8/2/ed-1/seq-3/1","3"
"63",1639,1663,"17269_0","The Michigan chronicle",1939-06-24,1939,6,24,"https://articleextractor.org/pages/17269/mimtptc_clare_ver03/sn83045324//1939/06/24/ed-1/seq-13/0?user_id=6",0,"sn83045324","Detroit","Michigan","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17269,"17269_0","https://articleextractor.org/pages/17269/mimtptc_clare_ver03/sn83045324/6/24/ed-1/seq-13/1","13"
"64",1640,1664,"17271_0","St Paul recorder",1940-03-29,1940,3,29,"https://articleextractor.org/pages/17271/mnhi_dodgeball_ver01/sn83016804//1940/03/29/ed-1/seq-2/0?user_id=6",0,"sn83016804","St Paul","Minnesota","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17271,"17271_0","https://articleextractor.org/pages/17271/mnhi_dodgeball_ver01/sn83016804/3/29/ed-1/seq-2/1","2"
"65",1641,1665,"17272_0","St Paul recorder",1940-08-16,1940,8,16,"https://articleextractor.org/pages/17272/mnhi_dodgeball_ver01/sn83016804//1940/08/16/ed-1/seq-4/0?user_id=6",0,"sn83016804","St Paul","Minnesota","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,17272,"17272_0","https://articleextractor.org/pages/17272/mnhi_dodgeball_ver01/sn83016804/8/16/ed-1/seq-4/1","4"
