"newspaper","location","date","full_text"
"The freeman.","Indianapolis [Ind.]","August 11, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 11, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","March 03, 1894","The freeman. [volume] (Indianapolis [Ind.]), March 03, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","July 28, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 28, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","July 28, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 28, 1894, Image 8"
"The freeman.","Indianapolis [Ind.]","March 31, 1894","The freeman. [volume] (Indianapolis [Ind.]), March 31, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","July 21, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 21, 1894, Image 7"
"Omaha daily bee.","Omaha [Neb.]","July 01, 1894","Omaha daily bee. (Omaha [Neb.]), July 01, 1894, Page 10, Image 10"
"The gazette.","Cleveland, Ohio","September 15, 1894","The gazette. [volume] (Cleveland, Ohio), September 15, 1894, Page 2, Image 2"
"The Washington times.","Washington, D.C.","July 30, 1894","The Washington times. (Washington, D.C.), July 30, 1894, Image 1"
"The gazette.","Cleveland, Ohio","December 01, 1894","The gazette. [volume] (Cleveland, Ohio), December 01, 1894, Page 2, Image 2"
"The morning news.","Savannah, Ga.","August 13, 1894","The morning news. [volume] (Savannah, Ga.), August 13, 1894, Page 4, Image 4"
"The People's friend.","Wichita, Kan.","August 17, 1894","The People's friend. [volume] (Wichita, Kan.), August 17, 1894, Image 1"
"Arizona republican.","Phoenix, Ariz.","September 21, 1894","Arizona republican. [volume] (Phoenix, Ariz.), September 21, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","June 16, 1894","The freeman. [volume] (Indianapolis [Ind.]), June 16, 1894, Image 1"
"The People's friend.","Wichita, Kan.","June 29, 1894","The People's friend. [volume] (Wichita, Kan.), June 29, 1894, Image 1"
"The People's friend.","Wichita, Kan.","September 07, 1894","The People's friend. [volume] (Wichita, Kan.), September 07, 1894, Image 1"
"Watauga Democrat.","Boone, Watauga County, N.C.","August 16, 1894","Watauga Democrat. [volume] (Boone, Watauga County, N.C.), August 16, 1894, Image 1"
"Huntsville gazette.","Huntsville, Ala.","September 29, 1894","Huntsville gazette. [volume] (Huntsville, Ala.), September 29, 1894, Image 2"
"Huntsville gazette.","Huntsville, Ala.","July 14, 1894","Huntsville gazette. [volume] (Huntsville, Ala.), July 14, 1894, Image 2"
"Huntsville gazette.","Huntsville, Ala.","May 12, 1894","Huntsville gazette. [volume] (Huntsville, Ala.), May 12, 1894, Image 2"
"The People's friend.","Wichita, Kan.","September 28, 1894","The People's friend. [volume] (Wichita, Kan.), September 28, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","June 30, 1894","The freeman. [volume] (Indianapolis [Ind.]), June 30, 1894, Image 1"
"The Wichita daily eagle.","Wichita, Kan.","September 25, 1894","The Wichita daily eagle. [volume] (Wichita, Kan.), September 25, 1894, Page 6, Image 6"
"The gazette.","Cleveland, Ohio","November 10, 1894","The gazette. [volume] (Cleveland, Ohio), November 10, 1894, Page 3, Image 3"
"The gazette.","Cleveland, Ohio","November 17, 1894","The gazette. [volume] (Cleveland, Ohio), November 17, 1894, Page 3, Image 3"
"The gazette.","Cleveland, Ohio","June 16, 1894","The gazette. [volume] (Cleveland, Ohio), June 16, 1894, Image 1"
"The Salt Lake herald.","Salt Lake City [Utah]","July 30, 1894","The Salt Lake herald. [volume] (Salt Lake City [Utah]), July 30, 1894, Image 1"
"The Rawlins Republican.","Rawlins, Carbon County, Wyo.","October 25, 1894","The Rawlins Republican. (Rawlins, Carbon County, Wyo.), October 25, 1894, Image 7"
"The gazette.","Cleveland, Ohio","December 29, 1894","The gazette. [volume] (Cleveland, Ohio), December 29, 1894, Page 3, Image 3"
"The Salt Lake herald.","Salt Lake City [Utah]","August 04, 1894","The Salt Lake herald. [volume] (Salt Lake City [Utah]), August 04, 1894, Page 2, Image 2"
"Iowa state bystander.","Des Moines, Iowa","September 28, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), September 28, 1894, Image 1"
"Omaha daily bee.","Omaha [Neb.]","September 19, 1894","Omaha daily bee. (Omaha [Neb.]), September 19, 1894, Page 5, Image 5"
"The gazette.","Cleveland, Ohio","February 24, 1894","The gazette. [volume] (Cleveland, Ohio), February 24, 1894, Image 1"
"Richmond planet.","Richmond, Va.","August 18, 1894","Richmond planet. [volume] (Richmond, Va.), August 18, 1894, Image 2"
"The morning call.","San Francisco [Calif.]","July 30, 1894","The morning call. [volume] (San Francisco [Calif.]), July 30, 1894, Image 1"
"Wheeling register.","Wheeling, W. Va.","July 30, 1894","Wheeling register. [volume] (Wheeling, W. Va.), July 30, 1894, Image 1"
"The gazette.","Cleveland, Ohio","September 22, 1894","The gazette. [volume] (Cleveland, Ohio), September 22, 1894, Image 1"
"Mexico weekly ledger.","Mexico, Mo.","August 09, 1894","Mexico weekly ledger. (Mexico, Mo.), August 09, 1894, Image 1"
"The Washington bee.","Washington, D.C.","September 08, 1894","The Washington bee. [volume] (Washington, D.C.), September 08, 1894, Image 2"
"The Washington bee.","Washington, D.C.","July 14, 1894","The Washington bee. [volume] (Washington, D.C.), July 14, 1894, Image 2"
"The Washington bee.","Washington, D.C.","August 25, 1894","The Washington bee. [volume] (Washington, D.C.), August 25, 1894, Image 2"
"Iowa state bystander.","Des Moines, Iowa","November 23, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), November 23, 1894, Image 4"
"The gazette.","Cleveland, Ohio","June 02, 1894","The gazette. [volume] (Cleveland, Ohio), June 02, 1894, Image 1"
"The Kinsley graphic.","Kinsley, Kan.","September 21, 1894","The Kinsley graphic. [volume] (Kinsley, Kan.), September 21, 1894, Image 2"
"Iowa state bystander.","Des Moines, Iowa","December 14, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), December 14, 1894, Image 4"
"The gazette.","Cleveland, Ohio","July 28, 1894","The gazette. [volume] (Cleveland, Ohio), July 28, 1894, Page 3, Image 3"
"The gazette.","Cleveland, Ohio","August 25, 1894","The gazette. [volume] (Cleveland, Ohio), August 25, 1894, Image 1"
"The American citizen.","Topeka, Kan.","May 04, 1894","The American citizen. [volume] (Topeka, Kan.), May 04, 1894, Image 2"
"The Osceola times.","Osceola, Ark.","September 22, 1894","The Osceola times. [volume] (Osceola, Ark.), September 22, 1894, Image 2"
"Richmond planet.","Richmond, Va.","October 20, 1894","Richmond planet. [volume] (Richmond, Va.), October 20, 1894, Image 3"
"Evening journal.","Wilmington, Del.","August 10, 1894","Evening journal. [volume] (Wilmington, Del.), August 10, 1894, Image 2"
"The new dominion.","Morgantown, W. Va.","August 11, 1894","The new dominion. [volume] (Morgantown, W. Va.), August 11, 1894, Image 2"
"Der Deutsche correspondent.","Baltimore, Md.","October 26, 1894","Der Deutsche correspondent. [volume] (Baltimore, Md.), October 26, 1894, Image 4"
"Omaha daily bee.","Omaha [Neb.]","November 25, 1894","Omaha daily bee. (Omaha [Neb.]), November 25, 1894, Page 13, Image 14"
"The news & observer.","Raleigh, N.C.","December 23, 1894","The news & observer. [volume] (Raleigh, N.C.), December 23, 1894, Image 1"
"The gazette.","Cleveland, Ohio","June 02, 1894","The gazette. [volume] (Cleveland, Ohio), June 02, 1894, Page 2, Image 2"
"The Indianapolis journal.","Indianapolis [Ind.]","September 15, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 15, 1894, Page 3, Image 3"
"St. Paul daily globe.","Saint Paul, Minn.","August 04, 1894","St. Paul daily globe. [volume] (Saint Paul, Minn.), August 04, 1894, Page 4, Image 4"
"The Worthington advance.","Worthington, Minn.","October 18, 1894","The Worthington advance. [volume] (Worthington, Minn.), October 18, 1894, Image 7"
"Little Falls weekly transcript.","Little Falls, Morrison Co., Minn.","October 19, 1894","Little Falls weekly transcript. (Little Falls, Morrison Co., Minn.), October 19, 1894, Image 3"
"The Madison daily leader.","Madison, S.D.","October 18, 1894","The Madison daily leader. [volume] (Madison, S.D.), October 18, 1894, Image 4"
"The Madison daily leader.","Madison, S.D.","September 12, 1894","The Madison daily leader. [volume] (Madison, S.D.), September 12, 1894, Image 2"
"The Providence news.","Providence [R.I.]","August 17, 1894","The Providence news. (Providence [R.I.]), August 17, 1894, Image 8"
"The freeman.","Indianapolis [Ind.]","September 01, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 01, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","September 22, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 22, 1894, Image 5"
"The freeman.","Indianapolis [Ind.]","September 22, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 22, 1894, Image 4"
"The Durham daily globe.","Durham, N.C.","October 01, 1894","The Durham daily globe. (Durham, N.C.), October 01, 1894, Image 3"
"Freeland tribune.","Freeland, Pa.","September 27, 1894","Freeland tribune. (Freeland, Pa.), September 27, 1894, Image 3"
"The Greenville times.","Greenville, Miss.","June 30, 1894","The Greenville times. [volume] (Greenville, Miss.), June 30, 1894, Image 2"
"The Lafayette gazette.","Lafayette, La.","September 08, 1894","The Lafayette gazette. [volume] (Lafayette, La.), September 08, 1894, Image 2"
"The comet.","Johnson City, Tenn.","August 16, 1894","The comet. (Johnson City, Tenn.), August 16, 1894, Image 2"
"Bridgeton pioneer.","Bridgeton, N.J.","September 27, 1894","Bridgeton pioneer. (Bridgeton, N.J.), September 27, 1894, Image 4"
"The Providence news.","Providence [R.I.]","October 26, 1894","The Providence news. (Providence [R.I.]), October 26, 1894, Image 1"
"The Kansas blackman.","Topeka, Kan.","June 29, 1894","The Kansas blackman. [volume] (Topeka, Kan.), June 29, 1894, Image 1"
"San Antonio daily light.","San Antonio, Tex.","December 06, 1894","San Antonio daily light. [volume] (San Antonio, Tex.), December 06, 1894, Image 7"
"The American citizen.","Topeka, Kan.","August 03, 1894","The American citizen. [volume] (Topeka, Kan.), August 03, 1894, Image 3"
"The freeman.","Indianapolis [Ind.]","January 13, 1894","The freeman. [volume] (Indianapolis [Ind.]), January 13, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","June 23, 1894","The freeman. [volume] (Indianapolis [Ind.]), June 23, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","August 04, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 04, 1894, Image 3"
"The freeman.","Indianapolis [Ind.]","November 03, 1894","The freeman. [volume] (Indianapolis [Ind.]), November 03, 1894, Image 4"
"The Indianapolis journal.","Indianapolis [Ind.]","September 13, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 13, 1894, Page 8, Image 8"
"The morning news.","Savannah, Ga.","August 04, 1894","The morning news. [volume] (Savannah, Ga.), August 04, 1894, Page 4, Image 4"
"The gold leaf.","Henderson, N.C.","August 23, 1894","The gold leaf. [volume] (Henderson, N.C.), August 23, 1894, Image 2"
"Evening star.","Washington, D.C.","August 06, 1894","Evening star. [volume] (Washington, D.C.), August 06, 1894, Page 9, Image 9"
"Evening star.","Washington, D.C.","September 10, 1894","Evening star. [volume] (Washington, D.C.), September 10, 1894, Page 2, Image 2"
"The Washington times.","Washington, D.C.","September 14, 1894","The Washington times. (Washington, D.C.), September 14, 1894, Page 3, Image 3"
"The Indianapolis journal.","Indianapolis [Ind.]","August 04, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), August 04, 1894, Image 1"
"The indicator.","Pueblo, Colo.","December 15, 1894","The indicator. (Pueblo, Colo.), December 15, 1894, Image 2"
"Alexandria gazette.","Alexandria, D.C.","October 26, 1894","Alexandria gazette. [volume] (Alexandria, D.C.), October 26, 1894, Image 2"
"The Indianapolis journal.","Indianapolis [Ind.]","September 27, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 27, 1894, Page 6, Image 6"
"Evening star.","Washington, D.C.","December 19, 1894","Evening star. [volume] (Washington, D.C.), December 19, 1894, Page 9, Image 9"
"The National tribune.","Washington, D.C.","December 27, 1894","The National tribune. [volume] (Washington, D.C.), December 27, 1894, Page 5, Image 5"
"The gazette.","Cleveland, Ohio","August 11, 1894","The gazette. [volume] (Cleveland, Ohio), August 11, 1894, Page 3, Image 3"
"The sun.","New York [N.Y.]","July 31, 1894","The sun. [volume] (New York [N.Y.]), July 31, 1894, Page 7, Image 7"
"The sun.","New York [N.Y.]","August 01, 1894","The sun. [volume] (New York [N.Y.]), August 01, 1894, Page 6, Image 6"
"Richmond planet.","Richmond, Va.","April 28, 1894","Richmond planet. [volume] (Richmond, Va.), April 28, 1894, Image 2"
"The morning call.","San Francisco [Calif.]","October 16, 1894","The morning call. [volume] (San Francisco [Calif.]), October 16, 1894, Page 5, Image 5"
"The gold leaf.","Henderson, N.C.","August 30, 1894","The gold leaf. [volume] (Henderson, N.C.), August 30, 1894, Image 1"
"The Salt Lake herald.","Salt Lake City [Utah]","September 15, 1894","The Salt Lake herald. [volume] (Salt Lake City [Utah]), September 15, 1894, Image 1"
"The Salt Lake herald.","Salt Lake City [Utah]","October 16, 1894","The Salt Lake herald. [volume] (Salt Lake City [Utah]), October 16, 1894, Image 1"
"The Indianapolis journal.","Indianapolis [Ind.]","October 01, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), October 01, 1894, Page 8, Image 8"
"The morning call.","San Francisco [Calif.]","August 04, 1894","The morning call. [volume] (San Francisco [Calif.]), August 04, 1894, Page 2, Image 2"
"Iowa state bystander.","Des Moines, Iowa","October 05, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), October 05, 1894, Image 1"
"The news & observer.","Raleigh, N.C.","December 23, 1894","The news & observer. [volume] (Raleigh, N.C.), December 23, 1894, Image 2"
"St. Paul daily globe.","Saint Paul, Minn.","June 10, 1894","St. Paul daily globe. [volume] (Saint Paul, Minn.), June 10, 1894, Page 2, Image 2"
"The Wheeling daily intelligencer.","Wheeling, W. Va.","August 04, 1894","The Wheeling daily intelligencer. [volume] (Wheeling, W. Va.), August 04, 1894, Image 1"
"Richmond planet.","Richmond, Va.","July 21, 1894","Richmond planet. [volume] (Richmond, Va.), July 21, 1894, Image 1"
"The gazette.","Cleveland, Ohio","November 24, 1894","The gazette. [volume] (Cleveland, Ohio), November 24, 1894, Page 3, Image 3"
"New-York tribune.","New York [N.Y.]","December 17, 1894","New-York tribune. [volume] (New York [N.Y.]), December 17, 1894, Page 12, Image 12"
"The morning call.","San Francisco [Calif.]","September 17, 1894","The morning call. [volume] (San Francisco [Calif.]), September 17, 1894, Page 2, Image 2"
"The Opelousas courier.","Opelousas, La.","August 11, 1894","The Opelousas courier. [volume] (Opelousas, La.), August 11, 1894, Image 1"
"The Prince George's enquirer and southern Maryland advertiser.","Upper Marlborough, Md.","August 10, 1894","The Prince George's enquirer and southern Maryland advertiser. (Upper Marlborough, Md.), August 10, 1894, Image 2"
"The Indianapolis journal.","Indianapolis [Ind.]","September 29, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 29, 1894, Page 8, Image 8"
"Omaha daily bee.","Omaha [Neb.]","August 04, 1894","Omaha daily bee. (Omaha [Neb.]), August 04, 1894, Page 5, Image 5"
"Iowa state bystander.","Des Moines, Iowa","December 14, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), December 14, 1894, Image 1"
"The Providence news.","Providence [R.I.]","October 29, 1894","The Providence news. (Providence [R.I.]), October 29, 1894, Image 1"
"The gazette.","Cleveland, Ohio","November 03, 1894","The gazette. [volume] (Cleveland, Ohio), November 03, 1894, Image 1"
"The gazette.","Cleveland, Ohio","September 08, 1894","The gazette. [volume] (Cleveland, Ohio), September 08, 1894, Image 1"
"The gazette.","Cleveland, Ohio","August 25, 1894","The gazette. [volume] (Cleveland, Ohio), August 25, 1894, Page 2, Image 2"
"The morning news.","Savannah, Ga.","June 23, 1894","The morning news. [volume] (Savannah, Ga.), June 23, 1894, Image 1"
"The sun.","New York [N.Y.]","July 26, 1894","The sun. [volume] (New York [N.Y.]), July 26, 1894, Page 7, Image 7"
"Evening star.","Washington, D.C.","October 13, 1894","Evening star. [volume] (Washington, D.C.), October 13, 1894, Page 13, Image 13"
"The sun.","New York [N.Y.]","August 05, 1894","The sun. [volume] (New York [N.Y.]), August 05, 1894, 3, Page 2, Image 20"
"The aegis & intelligencer.","Bel Air, Md.","August 10, 1894","The aegis & intelligencer. [volume] (Bel Air, Md.), August 10, 1894, Image 2"
"The People's friend.","Wichita, Kan.","August 10, 1894","The People's friend. [volume] (Wichita, Kan.), August 10, 1894, Image 1"
"Evening star.","Washington, D.C.","December 21, 1894","Evening star. [volume] (Washington, D.C.), December 21, 1894, Image 2"
"Evening star.","Washington, D.C.","September 06, 1894","Evening star. [volume] (Washington, D.C.), September 06, 1894, Page 2, Image 2"
"The Washington times.","Washington, D.C.","October 16, 1894","The Washington times. (Washington, D.C.), October 16, 1894, Image 1"
"The Indianapolis journal.","Indianapolis [Ind.]","October 16, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), October 16, 1894, Page 2, Image 2"
"St. Tammany farmer.","Covington, La.","August 25, 1894","St. Tammany farmer. [volume] (Covington, La.), August 25, 1894, Image 2"
"The Washington times.","Washington, D.C.","August 04, 1894","The Washington times. (Washington, D.C.), August 04, 1894, Image 1"
"The morning news.","Savannah, Ga.","September 17, 1894","The morning news. [volume] (Savannah, Ga.), September 17, 1894, Image 1"
"The Hartford herald.","Hartford, Ky.","August 22, 1894","The Hartford herald. [volume] (Hartford, Ky.), August 22, 1894, Image 2"
"The Salt Lake herald.","Salt Lake City [Utah]","September 15, 1894","The Salt Lake herald. [volume] (Salt Lake City [Utah]), September 15, 1894, Page 2, Image 2"
"Omaha daily bee.","Omaha [Neb.]","June 30, 1894","Omaha daily bee. (Omaha [Neb.]), June 30, 1894, Page 4, Image 4"
"St. Paul daily globe.","Saint Paul, Minn.","September 17, 1894","St. Paul daily globe. [volume] (Saint Paul, Minn.), September 17, 1894, Page 3, Image 3"
"The gazette.","Cleveland, Ohio","October 13, 1894","The gazette. [volume] (Cleveland, Ohio), October 13, 1894, Page 2, Image 2"
"The Wichita daily eagle.","Wichita, Kan.","August 28, 1894","The Wichita daily eagle. [volume] (Wichita, Kan.), August 28, 1894, Page 6, Image 6"
"The Washington times.","Washington, D.C.","September 15, 1894","The Washington times. (Washington, D.C.), September 15, 1894, Page 2, Image 2"
"Evening star.","Washington, D.C.","August 22, 1894","Evening star. [volume] (Washington, D.C.), August 22, 1894, Page 5, Image 5"
"New-York tribune.","New York [N.Y.]","August 17, 1894","New-York tribune. [volume] (New York [N.Y.]), August 17, 1894, Page 3, Image 3"
"The Mount Holly news.","Mount Holly, Burlington Co., N.J.","October 30, 1894","The Mount Holly news. [volume] (Mount Holly, Burlington Co., N.J.), October 30, 1894, Image 3"
"The daily herald.","Brownsville, Tex.","June 02, 1894","The daily herald. [volume] (Brownsville, Tex.), June 02, 1894, Image 6"
"Vorwärts!.","Milwaukee, Wis.","August 26, 1894","Vorwärts!. [volume] (Milwaukee, Wis.), August 26, 1894, Image 1"
"The Lamar register.","Lamar, Colo.","October 20, 1894","The Lamar register. [volume] (Lamar, Colo.), October 20, 1894, Image 2"
"The Washington bee.","Washington, D.C.","December 08, 1894","The Washington bee. [volume] (Washington, D.C.), December 08, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","March 03, 1894","The freeman. [volume] (Indianapolis [Ind.]), March 03, 1894, Image 1"
"The Marietta journal.","Marietta, Ga.","June 28, 1894","The Marietta journal. [volume] (Marietta, Ga.), June 28, 1894, Image 2"
"The morning call.","San Francisco [Calif.]","September 15, 1894","The morning call. [volume] (San Francisco [Calif.]), September 15, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","September 01, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 01, 1894, Image 1"
"The American citizen.","Topeka, Kan.","August 17, 1894","The American citizen. [volume] (Topeka, Kan.), August 17, 1894, Image 2"
"The Washington times.","Washington, D.C.","December 21, 1894","The Washington times. (Washington, D.C.), December 21, 1894, Page 6, Image 6"
"The Providence news.","Providence [R.I.]","October 27, 1894","The Providence news. (Providence [R.I.]), October 27, 1894, Image 4"
"The sun.","New York [N.Y.]","September 09, 1894","The sun. [volume] (New York [N.Y.]), September 09, 1894, 2, Page 4, Image 14"
"Iowa state bystander.","Des Moines, Iowa","January 18, 1895","Iowa state bystander. [volume] (Des Moines, Iowa), January 18, 1895, Image 1"
"The morning call.","San Francisco [Calif.]","March 04, 1895","The morning call. [volume] (San Francisco [Calif.]), March 04, 1895, Page 7, Image 7"
"The American citizen.","Topeka, Kan.","March 29, 1895","The American citizen. [volume] (Topeka, Kan.), March 29, 1895, Image 2"
"The freeman.","Indianapolis [Ind.]","February 16, 1895","The freeman. [volume] (Indianapolis [Ind.]), February 16, 1895, Image 8"
"The Topeka state journal.","Topeka, Kansas","June 08, 1895","The Topeka state journal. [volume] (Topeka, Kansas), June 08, 1895, NIGHT EDITION, Page 3, Image 3"
"The Daily Texarkanian.","Texarkana, Ark.","January 22, 1895","The Daily Texarkanian. [volume] (Texarkana, Ark.), January 22, 1895, Image 1"
"The freeman.","Indianapolis [Ind.]","April 27, 1895","The freeman. [volume] (Indianapolis [Ind.]), April 27, 1895, Image 7"
"The American citizen.","Topeka, Kan.","May 10, 1895","The American citizen. [volume] (Topeka, Kan.), May 10, 1895, Image 2"
"The freeman.","Indianapolis [Ind.]","February 02, 1895","The freeman. [volume] (Indianapolis [Ind.]), February 02, 1895, Image 1"
"The Topeka state journal.","Topeka, Kansas","June 10, 1895","The Topeka state journal. [volume] (Topeka, Kansas), June 10, 1895, NIGHT EDITION, Page 8, Image 8"
"The freeman.","Indianapolis [Ind.]","February 09, 1895","The freeman. [volume] (Indianapolis [Ind.]), February 09, 1895, Image 4"
"The Topeka state journal.","Topeka, Kansas","July 02, 1895","The Topeka state journal. [volume] (Topeka, Kansas), July 02, 1895, Page 4, Image 4"
"The freeman.","Indianapolis [Ind.]","December 07, 1895","The freeman. [volume] (Indianapolis [Ind.]), December 07, 1895, Image 4"
"The Washington bee.","Washington, D.C.","October 26, 1895","The Washington bee. [volume] (Washington, D.C.), October 26, 1895, Image 1"
"Evening capital.","Annapolis, Md.","July 26, 1895","Evening capital. (Annapolis, Md.), July 26, 1895, Image 3"
"Iowa state bystander.","Des Moines, Iowa","January 04, 1895","Iowa state bystander. [volume] (Des Moines, Iowa), January 04, 1895, Image 1"
"St. Paul daily globe.","Saint Paul, Minn.","June 28, 1895","St. Paul daily globe. [volume] (Saint Paul, Minn.), June 28, 1895, Image 1"
"The gazette.","Cleveland, Ohio","January 05, 1895","The gazette. [volume] (Cleveland, Ohio), January 05, 1895, Image 1"
"St. Paul daily globe.","Saint Paul, Minn.","June 28, 1895","St. Paul daily globe. [volume] (Saint Paul, Minn.), June 28, 1895, Image 2"
"The San Francisco call.","San Francisco [Calif.]","March 05, 1895","The San Francisco call. [volume] (San Francisco [Calif.]), March 05, 1895, Page 7, Image 7"
"The American citizen.","Topeka, Kan.","March 22, 1895","The American citizen. [volume] (Topeka, Kan.), March 22, 1895, Image 3"
"The American citizen.","Topeka, Kan.","June 28, 1895","The American citizen. [volume] (Topeka, Kan.), June 28, 1895, Image 2"
"The freeman.","Indianapolis [Ind.]","November 30, 1895","The freeman. [volume] (Indianapolis [Ind.]), November 30, 1895, Image 4"
"The record-union.","Sacramento, Calif.","March 05, 1895","The record-union. [volume] (Sacramento, Calif.), March 05, 1895, Page 8, Image 8"
"Richmond planet.","Richmond, Va.","February 16, 1895","Richmond planet. [volume] (Richmond, Va.), February 16, 1895, Image 3"
"The American citizen.","Topeka, Kan.","May 24, 1895","The American citizen. [volume] (Topeka, Kan.), May 24, 1895, Image 2"
"The Topeka state journal.","Topeka, Kansas","June 12, 1895","The Topeka state journal. [volume] (Topeka, Kansas), June 12, 1895, NIGHT EDITION, Image 1"
"The Topeka state journal.","Topeka, Kansas","June 17, 1895","The Topeka state journal. [volume] (Topeka, Kansas), June 17, 1895, NIGHT EDITION, Page 4, Image 4"
"The freeman.","Indianapolis [Ind.]","April 20, 1895","The freeman. [volume] (Indianapolis [Ind.]), April 20, 1895, Image 4"
"The freeman.","Indianapolis [Ind.]","July 06, 1895","The freeman. [volume] (Indianapolis [Ind.]), July 06, 1895, Image 6"
"The Washington bee.","Washington, D.C.","January 05, 1895","The Washington bee. [volume] (Washington, D.C.), January 05, 1895, Image 3"
"The news & observer.","Raleigh, N.C.","August 01, 1895","The news & observer. [volume] (Raleigh, N.C.), August 01, 1895, Image 1"
"The freeman.","Indianapolis [Ind.]","June 08, 1895","The freeman. [volume] (Indianapolis [Ind.]), June 08, 1895, Image 2"
"The freeman.","Indianapolis [Ind.]","June 22, 1895","The freeman. [volume] (Indianapolis [Ind.]), June 22, 1895, Image 6"
"The San Francisco call.","San Francisco [Calif.]","March 05, 1895","The San Francisco call. [volume] (San Francisco [Calif.]), March 05, 1895, Page 11, Image 11"
"The gazette.","Cleveland, Ohio","June 29, 1895","The gazette. [volume] (Cleveland, Ohio), June 29, 1895, Page 2, Image 2"
"Richmond planet.","Richmond, Va.","March 16, 1895","Richmond planet. [volume] (Richmond, Va.), March 16, 1895, Image 2"
"Richmond planet.","Richmond, Va.","November 23, 1895","Richmond planet. [volume] (Richmond, Va.), November 23, 1895, Image 2"
"Wisconsin Vorwärts.","Milwaukee, Wis.","March 14, 1895","Wisconsin Vorwärts. (Milwaukee, Wis.), March 14, 1895, Image 3"
"The Portland daily press.","Portland, Me.","April 20, 1895","The Portland daily press. [volume] (Portland, Me.), April 20, 1895, Page 11, Image 11"
"The Globe-republican.","Dodge City, Kan.","July 05, 1895","The Globe-republican. [volume] (Dodge City, Kan.), July 05, 1895, Image 7"
"The Topeka state journal.","Topeka, Kansas","June 17, 1895","The Topeka state journal. [volume] (Topeka, Kansas), June 17, 1895, NIGHT EDITION, Page 5, Image 5"
"The freeman.","Indianapolis [Ind.]","April 20, 1895","The freeman. [volume] (Indianapolis [Ind.]), April 20, 1895, Image 3"
"The record-union.","Sacramento, Calif.","March 02, 1895","The record-union. [volume] (Sacramento, Calif.), March 02, 1895, Page 8, Image 8"
"San Antonio daily light.","San Antonio, Tex.","July 31, 1895","San Antonio daily light. [volume] (San Antonio, Tex.), July 31, 1895, Image 7"
"The freeman.","Indianapolis [Ind.]","June 22, 1895","The freeman. [volume] (Indianapolis [Ind.]), June 22, 1895, Image 4"
"Richmond planet.","Richmond, Va.","February 02, 1895","Richmond planet. [volume] (Richmond, Va.), February 02, 1895, Image 1"
"The Washington bee.","Washington, D.C.","June 29, 1895","The Washington bee. [volume] (Washington, D.C.), June 29, 1895, Image 1"
"The American citizen.","Topeka, Kan.","March 22, 1895","The American citizen. [volume] (Topeka, Kan.), March 22, 1895, Image 2"
"The American citizen.","Topeka, Kan.","June 21, 1895","The American citizen. [volume] (Topeka, Kan.), June 21, 1895, Image 2"
"The freeman.","Indianapolis [Ind.]","December 07, 1895","The freeman. [volume] (Indianapolis [Ind.]), December 07, 1895, Image 1"
"The Wichita daily eagle.","Wichita, Kan.","June 21, 1895","The Wichita daily eagle. [volume] (Wichita, Kan.), June 21, 1895, Page 4, Image 4"
"The morning call.","San Francisco [Calif.]","February 22, 1895","The morning call. [volume] (San Francisco [Calif.]), February 22, 1895, Page 5, Image 5"
"The morning call.","San Francisco [Calif.]","February 26, 1895","The morning call. [volume] (San Francisco [Calif.]), February 26, 1895, Page 11, Image 11"
"Waterbury evening Democrat.","Waterbury, Conn.","July 02, 1895","Waterbury evening Democrat. [volume] (Waterbury, Conn.), July 02, 1895, Image 3"
"Custer weekly chronicle.","Custer City, S.D.","July 06, 1895","Custer weekly chronicle. [volume] (Custer City, S.D.), July 06, 1895, Image 2"
