"","index","file_name","article_title","date","year","newspaper_name","newspaper_city","newspaper_state","collection","abstract","store_id","authors","document_type","issn","pages","find_a_copy","start_page","filepath","url","black_press","month","day","page","edition","mod_id","file_id","article_id","sn","black"
"11",27,"bp27","Point Out Slain Man As Warning",1922-03-25,1922,"The Chicago Defender (National edition) (1921-1967)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,491911443,NA,"front_page","2572-5319","1","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25725319&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;spage=1&amp;date=1922-03-25&amp;atitle=Point+Out+Slain+Man+As+Warning&amp;au=&amp;id=doi:","1","black_press/bp27.txt","https://www.proquest.com/historical-newspapers/point-out-slain-man-as-warning/docview/491911443/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",28,"bp28","ALMOST UNBELIEVABLE",1923-06-16,1923,"The Chicago Defender (National edition) (1921-1967)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender","WE ARE INCLINED to give the devil his due and so we chalk up ono credit mark as a starter toward offsetting the scores of discredit marks charged up against Georgia, the state with the blackest and most criminal record of any in the Union. In a nutshell, a black man sentenced to be hanged by one court was acquitted by a higher court. The facts as told by the news service are interesting enough...",491984810,NA,"editorial_article","2572-5319","12","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25725319&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;spage=12&amp;date=1923-06-16&amp;atitle=ALMOST+UNBELIEVABLE&amp;au=&amp;id=doi:","12","black_press/bp28.txt","https://www.proquest.com/historical-newspapers/almost-unbelievable/docview/491984810/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",29,"bp30","Virginia Press Flays Bird Lynchers; Wants Members Punished",1926-08-28,1926,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide","The lynching of Raymond Bird in Wythe county jail at Wytheville Sunday morning, August 15, by a mob of 50 masked men has drawn a vigorous and practically...",567021719,NA,"front_page",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=1&amp;date=1926-08-28&amp;atitle=Virginia+Press+Flays+Bird+Lynchers%3B+Wants+Members+Punished&amp;au=&amp;id=doi:","1","black_press/bp30.txt","https://www.proquest.com/historical-newspapers/virginia-press-flays-bird-lynchers-wants-members/docview/567021719/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",30,"bp31","OTHER PAPERS SAY: ANOTHER ANTI-LYNCHING BILL FAILS [BRISTOL (VA.) HERALD-COURIER]",1926-06-05,1926,"The Chicago Defender (National edition) (1921-1967)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender","The senate judiciary committee has refused to report the McKinley anti-lynching bill, introduced by Senator McKinley of Illinois. The measure was similar to the Dyer bill, which passed the house some years ago but died in the Senate.",492090947,NA,"article","2572-5319","A2","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25725319&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;spage=A2&amp;date=1926-06-05&amp;atitle=OTHER+PAPERS+SAY&amp;au=&amp;id=doi:","A2","black_press/bp31.txt","https://www.proquest.com/historical-newspapers/other-papers-say/docview/492090947/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",31,"bp32","Mississippi Defiant",1926-05-01,1926,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide","Just some few weeks ago the women of Mississippi made what looked like an earnest effort to focus public attention of the state upon the horrible barbarity with which its people were cursed in the form of...",566946145,NA,"editorial_article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=14&amp;date=1926-05-01&amp;atitle=Mississippi+Defiant&amp;au=&amp;id=doi:","14","black_press/bp32.txt","https://www.proquest.com/historical-newspapers/mississippi-defiant/docview/566946145/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",32,"bp33","OTHER PAPERS SAY: MORE MOBBERY",1926-10-09,1926,"The Chicago Defender (National edition) (1921-1967)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender","How long, Oh Lord, how long will the decent, law-abiding citizens of Virginia submit to the reign of mobbery aunt thuggery which is defying the laws, the courts and respectable public opinion? How long will the state which has been revered for its deference to duly administered justice and to freedom of the individual from unlawful violence be forced to...",492084914,NA,"article","2572-5319","A2","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25725319&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;spage=A2&amp;date=1926-10-09&amp;atitle=OTHER+PAPERS+SAY&amp;au=&amp;id=doi:","A2","black_press/bp33.txt","https://www.proquest.com/historical-newspapers/other-papers-say/docview/492084914/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",33,"bp34","MOB LYNCHED WRONG MAN, PROBERS BELIEVE: FUTILE ATTEMPT IS MADE TO DISCOVER GUILTY PERSONS IN VIRGINIA OUTRAGE",1926-09-11,1926,"The Pittsburgh Courier (1911-1950)","Pittsburgh","Pennsylvania","ProQuest Historical Newspapers: Pittsburgh Courier","WYTHEVILLE, Va., Sept. 9.--The special grand jury investigating the lynching of Raymond Bird, August 15, was adjourned suddenly late Friday afternoon by Judge Horace Sutherland and will not be resumed until September 16. The jurist is scheduled to open court Monday in Pulaski county.",201860103,NA,"article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=The+Pittsburgh+Courier+%281911-1950%29&amp;spage=9&amp;date=1926-09-11&amp;atitle=MOB+LYNCHED+WRONG+MAN%2C+PROBERS+BELIEVE&amp;au=&amp;id=doi:","9","black_press/bp34.txt","https://www.proquest.com/historical-newspapers/mob-lynched-wrong-man-probers-believe/docview/201860103/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",34,"bp35","EXPRESSED BY OUR CONTEMPORARIES: MORE MOBBERY",1926-09-29,1926,"The New York Amsterdam News (1922-1938)","New_York","New_York","ProQuest Historical Newspapers: New York Amsterdam News","How long, oh Lord, how long will the decent law-abiding citizens of Virginia submit to the reign of mobbery and thuggery which is defying the laws, the courts and respectable public opinion? How long will the State which has been revered for its deference to duly administered Justice and to freedom of the individual from unlawful violence be forced to bow its head in shame because of lawless mobs which...",226355856,NA,"article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=The+New+York+Amsterdam+News+%281922-1938%29&amp;spage=20&amp;date=1926-09-29&amp;atitle=EXPRESSED+BY+OUR+CONTEMPORARIES&amp;au=&amp;id=doi:","20","black_press/bp35.txt","https://www.proquest.com/historical-newspapers/expressed-our-contemporaries/docview/226355856/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",35,"bp36","WELL, WE HOPE IT WON'T BE TOO HOT IN HELL, ANYWAY",1930-07-19,1930,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide",NA,567079163,NA,"front_page",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=0_1&amp;date=1930-07-19&amp;atitle=WELL%2C+WE+HOPE+IT+WON%27T+BE+TOO+HOT+IN+HELL%2C+ANYWAY&amp;au=&amp;id=doi:","0_1","black_press/bp36.txt","https://www.proquest.com/historical-newspapers/well-we-hope-wont-be-too-hot-hell-anyway/docview/567079163/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",36,"bp37","South Carolina Lynchers To Go To Trial; Mayor, Policemen Among Those Indicted: TRIAL SET FOR JULY SEVENTH Murderers of Allen Green Last April Must Face Court Trial",1930-06-07,1930,"The Pittsburgh Courier (1911-1950)","Pittsburgh","Pennsylvania","ProQuest Historical Newspapers: Pittsburgh Courier","WALHALLA, S. C., June 5.--(ANP)--The trial of the seventeen Oconee white men, including the mayor of this city and the night policeman, for the lynching of Allen Green on April 23, has been postponed until July 7, when a special session of...",201916269,NA,"article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=The+Pittsburgh+Courier+%281911-1950%29&amp;spage=A1&amp;date=1930-06-07&amp;atitle=South+Carolina+Lynchers+To+Go+To+Trial%3B+Mayor%2C+Policemen+Among+Those+Indicted&amp;au=&amp;id=doi:","A1","black_press/bp37.txt","https://www.proquest.com/historical-newspapers/south-carolina-lynchers-go-trial-mayor-policemen/docview/201916269/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",37,"bp38","WHITE TEXANS BURN 2ND NEGRO IN SEVEN DAYS: POSSE SHOOTS HIM DEAD IN LONG GUN BATTLE RESULT OF KILLING CO. OFFICERS REFUSED TO ASK FOR OUTSIDE AID",1930-05-24,1930,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide","Exactly one week from the day a Texas mob lynched a colored prisoner at Sherman, another composed of 3,000 lawless Men and women, given confi...",567088778,"Special to Journal and Guide","front_page",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=0_1&amp;date=1930-05-24&amp;atitle=WHITE+TEXANS+BURN+2ND+NEGRO+IN+SEVEN+DAYS&amp;au=Special+to+Journal+and+Guide&amp;id=doi:","0_1","black_press/bp38.txt","https://www.proquest.com/historical-newspapers/white-texans-burn-2nd-negro-seven-days/docview/567088778/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",38,"bp39","White Men Who Attacked Colored Girl And Killed Witness Get Year in Jail: Judge and Jury Mete Out Light Sentences in Case Where Victim Is Colored--Town Recently Scene of Mob Murder",1930-11-12,1930,"The New York Amsterdam News (1922-1938)","New_York","New_York","ProQuest Historical Newspapers: New York Amsterdam News",NA,226274947,NA,"article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=The+New+York+Amsterdam+News+%281922-1938%29&amp;spage=3&amp;date=1930-11-12&amp;atitle=White+Men+Who+Attacked+Colored+Girl+And+Killed+Witness+Get+Year+in+Jail&amp;au=&amp;id=doi:","3","black_press/bp39.txt","https://www.proquest.com/historical-newspapers/white-men-who-attacked-colored-girl-killed/docview/226274947/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",39,"bp40","Admits Georgia Mob Lynched Wrong Man",1930-09-27,1930,"The Chicago Defender (National edition) (1921-1967)","Chicago","Illinois","ProQuest Historical Newspapers: Chicago Defender",NA,492281027,NA,"article","2572-5319","10","https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=25725319&amp;volume=&amp;issue=&amp;title=The+Chicago+Defender+%28National+edition%29+%281921-1967%29&amp;spage=10&amp;date=1930-09-27&amp;atitle=Admits+Georgia+Mob+Lynched+Wrong+Man&amp;au=&amp;id=doi:","10","black_press/bp40.txt","https://www.proquest.com/historical-newspapers/admits-georgia-mob-lynched-wrong-man/docview/492281027/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",40,"bp41","If A White Man Talked of Lynching",1931-12-24,1931,"Philadelphia Tribune (1912-)","Philadelphia","Pennsylvania","ProQuest Historical Newspapers: Philadelphia Tribune","Like Lee, before the battle of Gettysburg, lynching has decided to come northward.",531260021,NA,"article","0746-956X",NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=0746956X&amp;volume=&amp;issue=&amp;title=Philadelphia+Tribune+%281912-%29&amp;spage=16&amp;date=1931-12-24&amp;atitle=Article+9+--+No+Title&amp;au=&amp;id=doi:","16","black_press/bp41.txt","https://www.proquest.com/historical-newspapers/article-9-no-title/docview/531260021/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",41,"bp42","THE SHADOW OF THE MOB: HOOVER IS PILLORIED BECAUSE OF SILENCE ON RECENT LYNCHINGS DR. J. MAX BARBER ASKS HOW CAN LAW REACH A HIGH PLACE IN POPULAR ESTEEM WHEN HEADS OF NATION ARE AFRAID TO COMMAND THE MOB TO HALT",1931-12-26,1931,"The Pittsburgh Courier (1911-1950)","Pittsburgh","Pennsylvania","ProQuest Historical Newspapers: Pittsburgh Courier","PHILADELPHIA, Pa., Dec. 24--In my initial article in The Courier in September I predicted that a wave of race hate would invade the northern states this winter. Events during the last two or three weeks show that the sinister shadows begin to gather. Judge Lynch has come over into the border states and holds court almost in the very shadow of the Capitol at Washington. It has been twenty years since a lynching in...",201916226,"Barber, J Max","article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=The+Pittsburgh+Courier+%281911-1950%29&amp;spage=A1&amp;date=1931-12-26&amp;atitle=THE+SHADOW+OF+THE+MOB&amp;au=Barber%2C+J+Max&amp;id=doi:","A1","black_press/bp42.txt","https://www.proquest.com/historical-newspapers/shadow-mob/docview/201916226/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",42,"bp43","Officials Pass Buck As Mob Terrorizes Negroes: RITCHIE WINKS AT SHO' MOBS, MESSAGE SAYS Federal Aid Asked In Telegram To Pres. Hoover",1931-12-05,1931,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide","While lynch mobs with ropes in their hands continue trmping up and down the Eastern Shore of Chesapeake Bay searching Jails for Negro farm workers.",567060192,NA,"article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=2&amp;date=1931-12-05&amp;atitle=Officials+Pass+Buck+As+Mob+Terrorizes+Negroes&amp;au=&amp;id=doi:","2","black_press/bp43.txt","https://www.proquest.com/historical-newspapers/officials-pass-buck-as-mob-terrorizes-negroes/docview/567060192/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",43,"bp46","Boy Who Escaped From Marion, Indiana Lynching Mob Is Given Short Prison Term(2): N.A.A.C.P. ATTORNEYS SAVE DEFENDANT FROM THE ELECTRIC CHAIR Lawyers, In Constant Danger During Trial, Were Guarded By Sheriff's Deputies--Mrs. Bailey's Work In Case Outstanding--Verdict Seen As Legal Victory",1931-07-25,1931,"The Pittsburgh Courier (1911-1950)","Pittsburgh","Pennsylvania","ProQuest Historical Newspapers: Pittsburgh Courier","MARION, Ind., July 23--Herbert Cameron, 14-year-old Negro who narrowly escaped lynching here last August, has escaped the electric chair, from which it seemed at one time almost impossible to save him, when a jury found him guilty of accessory before the fact of voluntary manslaughter, which carries with it a penalty of two to twenty-one years. As Cameron is a minor, his case comes within the special Indiana law...",201947255,NA,"article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=The+Pittsburgh+Courier+%281911-1950%29&amp;spage=2&amp;date=1931-07-25&amp;atitle=Boy+Who+Escaped+From+Marion%2C+Indiana+Lynching+Mob+Is+Given+Short+Prison+Term%282%29&amp;au=&amp;id=doi:","2","black_press/bp46.txt","https://www.proquest.com/historical-newspapers/boy-who-escaped-marion-indiana-lynching-mob-is/docview/201947255/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",44,"bp47","TENNESSEE EDITOR IS CHAMPION OF CRIME OF LYNCHING NEGROES",1931-05-16,1931,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide",NA,567130721,NA,"article",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=A1&amp;date=1931-05-16&amp;atitle=TENNESSEE+EDITOR+IS+CHAMPION+OF+CRIME+OF+LYNCHING+NEGROES&amp;au=&amp;id=doi:","A1","black_press/bp47.txt","https://www.proquest.com/historical-newspapers/tennessee-editor-is-champion-crime-lynching/docview/567130721/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",45,"bp48","""MOB LYNCHED FLORIDA"" SAYS GOV.D.CARLION: INTERRACIAL BODY LAUDS HIM FOR INVESTIGATION",1931-09-12,1931,"New Journal and Guide (1916-)","Norfolk","Virginia","ProQuest Historical Newspapers: Norfolk Journal and Guide","""They lynched the State of Florida,"" was the way Governor Carlton's frank statement, murder of Richard and Charles Smoke, father and son, by a band of masked...",567055209,NA,"front_page",NA,NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=New+Journal+and+Guide+%281916-%29&amp;spage=1&amp;date=1931-09-12&amp;atitle=%22MOB+LYNCHED+FLORIDA%22+SAYS+GOV.D.CARLION&amp;au=&amp;id=doi:","1","black_press/bp48.txt","https://www.proquest.com/historical-newspapers/mob-lynched-florida-says-gov-d-carlion/docview/567055209/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",46,"bp49","Smart Mr. Hoover",1932-08-23,1932,"Atlanta Daily World (1932-)","Atlanta","Georgia","ProQuest Historical Newspapers: Atlanta Daily World",NA,490401395,NA,"editorial_article","1528-6142",NA,"https://umaryland.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=15286142&amp;volume=&amp;issue=&amp;title=Atlanta+Daily+World+%281932-%29&amp;spage=6A&amp;date=1932-08-23&amp;atitle=Smart+Mr.+Hoover&amp;au=&amp;id=doi:","6A","black_press/bp49.txt","https://www.proquest.com/historical-newspapers/smart-mr-hoover/docview/490401395/se-2?accountid=14696","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
