Sasha_Mohamed,reviewed_by_te,newspaper_name,year,lynching,attempted_y_n,lynching_state,lynching_city,date,similar_coverage_y_n,month,day,page,edition,mod_id,newspaper_state,file_id2.x,num_annotations,file_id2.y,newspaper_city,state,url.y,article_id,sn,url_fixed,date2,url_final
NA,x,The Virginian,1826,No,NA,NA,NA,1826/10/12,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15948_0,LYNCHBURG,VA,https://articleextractor.org/pages/15948/vi_dartmoor_ver03/sn85027015/1826/10/12/ed-1/seq-4/0?user_id=10,NA,sn85027015,NA,1826-10-12,https://articleextractor.org/pages/15948/vi_dartmoor_ver03/sn85027015/1826/10/12/NA/seq-4/0?user_id=6
NA,x,Lynchburg Virginian (Lynchburg [Va.]),1835,"Yes, further analysis",NA,MS,LIVINGSTON,1835/07/23,"Yes, 16",7,23,seq-2,ed-1,2,Virginia,87401_0,1,15946_1,LYNCHBURG,VA,https://articleextractor.org/pages/15946/vi_dartmoor_ver03/sn84024649/1835/07/23/ed-1/seq-2/0?user_id=10,0,sn84024649,https://articleextractor.org/pages/87401/vi_dartmoor_ver03/sn84024649,1835-07-23,https://articleextractor.org/pages/87401/vi_dartmoor_ver03/sn84024649/1835/07/23/ed-1/seq-2/0?user_id=6
NA,x,"The Arkansas advocate (Little Rock, A....)",1835,Yes,NA,Can't verify state,LIVINGSTON,1835/07/31,NA,7,31,seq-2,ed-1,2,Arkansas,87402_0,1,15943_1,LITTLE ROCK,AK,https://articleextractor.org/pages/15943/arhi_elvis_ver01/sn87062070/1835/07/31/ed-1/seq-2/0?user_id=10,0,sn87062070,https://articleextractor.org/pages/87402/arhi_elvis_ver01/sn87062070,1835-07-31,https://articleextractor.org/pages/87402/arhi_elvis_ver01/sn87062070/1835/07/31/ed-1/seq-2/0?user_id=6
NA,NA,"South Branch intelligencer (Romney, Va. [W....)",1835,NA,NA,NA,NA,1835/08/01,NA,8,1,seq-2,ed-1,1,West Virginia,16747_0,NA,NA,NA,NA,NA,0,sn84026826,https://articleextractor.org/pages/16747/wvu_queen_ver01/sn84026826,1835-08-01,https://articleextractor.org/pages/16747/wvu_queen_ver01/sn84026826/1835/08/01/ed-1/seq-2/0?user_id=6
NA,x,"South Branch intelligencer (Romney, Va. [W....)",1835,Yes,NA,TN,MEMPHIS,1835/09/05,NA,9,5,seq-2,ed-1,4,West Virginia,87403_0,1,15939_1,ROMNEY,WV,https://articleextractor.org/pages/15939/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-2/0?user_id=10,0,sn84026826,https://articleextractor.org/pages/87403/wvu_queen_ver01/sn84026826,1835-09-05,https://articleextractor.org/pages/87403/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-2/0?user_id=6
NA,x,"South Branch intelligencer (Romney, Va. [W....)",1835,Yes,NA,SC,CHARLESTON,1835/09/05,NA,9,5,seq-3,ed-1,9,West Virginia,87568_0,4,15937_4,ROMNEY,WV,https://articleextractor.org/pages/15937/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/0?user_id=10,0,sn84026826,https://articleextractor.org/pages/87568/wvu_queen_ver01/sn84026826,1835-09-05,https://articleextractor.org/pages/87568/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/0?user_id=6
NA,x,"Richmond enquirer (Richmond, Va.)",1835,Yes,NA,LA,CLINTON,1835/09/08,NA,9,8,seq-4,ed-1,6,Virginia,87405_0,5,8052_5,RICHMOND,VA,https://articleextractor.org/pages/8052/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=10,0,sn84024735,https://articleextractor.org/pages/87405/vi_naturals_ver01/sn84024735,1835-09-08,https://articleextractor.org/pages/87405/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=6
NA,x,"Richmond enquirer (Richmond, Va.)",1835,Yes,NA,LA,CLINTON,1835/09/08,NA,9,8,seq-4,ed-1,6,Virginia,87405_1,5,8052_5,RICHMOND,VA,https://articleextractor.org/pages/8052/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=10,1,sn84024735,https://articleextractor.org/pages/87405/vi_naturals_ver01/sn84024735,1835-09-08,https://articleextractor.org/pages/87405/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=6
NA,x,Richmond enquirer,1835,No,NA,NA,NA,1835/09/11,NA,NA,NA,seq-3,NA,NA,NA,NA,0,16487_0,RICHMOND,VA,https://articleextractor.org/pages/16487/vi_naturals_ver01/sn84024735/1835/09/11/ed-1/seq-3/0?user_id=10,NA,sn84024735,NA,1835-09-11,https://articleextractor.org/pages/16487/vi_naturals_ver01/sn84024735/1835/09/11/NA/seq-3/0?user_id=6
NA,x,"South Branch intelligencer (Romney, Va. [W....)",1835,Yes,NA,LA,ST. HELENA,1835/09/12,NA,9,12,seq-2,ed-1,3,West Virginia,87406_0,2,15960_2,ROMNEY,WV,https://articleextractor.org/pages/15960/wvu_queen_ver01/sn84026826/1835/09/12/ed-1/seq-2/0?user_id=10,0,sn84026826,https://articleextractor.org/pages/87406/wvu_queen_ver01/sn84026826,1835-09-12,https://articleextractor.org/pages/87406/wvu_queen_ver01/sn84026826/1835/09/12/ed-1/seq-2/0?user_id=6
NA,x,"Richmond enquirer (Richmond, Va.)",1835,No,NA,NA,NA,1835/09/29,NA,9,29,seq-4,ed-1,1,Virginia,16757_0,1,15950_1,RICHMOND,VA,https://articleextractor.org/pages/15950/vi_armani_ver02/sn84024735/1835/09/29/ed-1/seq-4/0?user_id=10,0,sn84024735,https://articleextractor.org/pages/16757/vi_armani_ver02/sn84024735,1835-09-29,https://articleextractor.org/pages/16757/vi_armani_ver02/sn84024735/1835/09/29/ed-1/seq-4/0?user_id=6
NA,x,Richmond enquirer,1835,No,NA,NA,NA,1835/10/09,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15944_0,RICHMOND,VA,https://articleextractor.org/pages/15944/vi_armani_ver02/sn84024735/1835/10/09/ed-1/seq-4/0?user_id=10,NA,sn84024735,NA,1835-10-09,https://articleextractor.org/pages/15944/vi_armani_ver02/sn84024735/1835/10/09/NA/seq-4/0?user_id=6
NA,x,Richmond enquirer,1835,No,NA,NA,NA,1835/10/09,NA,NA,NA,seq-4,NA,NA,NA,NA,0,5010_0,RICHMOND,VA,https://articleextractor.org/pages/5010/vi_naturals_ver01/sn84024735/1835/10/09/ed-1/seq-4/0?user_id=10,NA,sn84024735,NA,1835-10-09,https://articleextractor.org/pages/5010/vi_naturals_ver01/sn84024735/1835/10/09/NA/seq-4/0?user_id=6
NA,x,Richmond enquirer,1835,No,NA,NA,NA,1835/10/13,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15947_0,RICHMOND,VA,https://articleextractor.org/pages/15947/vi_armani_ver02/sn84024735/1835/10/13/ed-1/seq-4/0?user_id=10,NA,sn84024735,NA,1835-10-13,https://articleextractor.org/pages/15947/vi_armani_ver02/sn84024735/1835/10/13/NA/seq-4/0?user_id=6
NA,x,Richmond enquirer,1835,No,NA,NA,NA,1835/10/13,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15942_0,RICHMOND,VA,https://articleextractor.org/pages/15942/vi_naturals_ver01/sn84024735/1835/10/13/ed-1/seq-4/0?user_id=10,NA,sn84024735,NA,1835-10-13,https://articleextractor.org/pages/15942/vi_naturals_ver01/sn84024735/1835/10/13/NA/seq-4/0?user_id=6
NA,x,"Richmond enquirer (Richmond, Va.)",1835,Yes,NA,MS,VICKSBURG & LIVINGSTON,1835/10/20,NA,10,20,seq-2,ed-1,1,Virginia,87407_0,0,15957_0,RICHMOND,VA,https://articleextractor.org/pages/15957/vi_armani_ver02/sn84024735/1835/10/20/ed-1/seq-2/0?user_id=10,0,sn84024735,https://articleextractor.org/pages/87407/vi_armani_ver02/sn84024735,1835-10-20,https://articleextractor.org/pages/87407/vi_armani_ver02/sn84024735/1835/10/20/ed-1/seq-2/0?user_id=6
NA,x,Lynchburg Virginian (Lynchburg [Va.]),1835,Yes,NA,MS,VICKSBURG & LIVINGSTON,1835/10/22,NA,10,22,seq-1,ed-1,1,Virginia,87408_0,0,15945_0,LYNCHBURG,VA,https://articleextractor.org/pages/15945/vi_dartmoor_ver03/sn84024649/1835/10/22/ed-1/seq-1/0?user_id=10,0,sn84024649,https://articleextractor.org/pages/87408/vi_dartmoor_ver03/sn84024649,1835-10-22,https://articleextractor.org/pages/87408/vi_dartmoor_ver03/sn84024649/1835/10/22/ed-1/seq-1/0?user_id=6
NA,x,"Richmond enquirer (Richmond, Va.)",1835,Yes,NA,AR,JACKSON COUNTY,1835/10/27,NA,10,27,seq-4,ed-1,1,Virginia,16770_0,0,3215_0,RICHMOND,VA,https://articleextractor.org/pages/3215/vi_armani_ver02/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=10,0,sn84024735,https://articleextractor.org/pages/16770/vi_naturals_ver01/sn84024735,1835-10-27,https://articleextractor.org/pages/16770/vi_naturals_ver01/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=6
NA,x,"Richmond enquirer (Richmond, Va.)",1835,Yes,NA,AR,JACKSON COUNTY,1835/10/27,NA,10,27,seq-4,ed-1,1,Virginia,87409_0,0,3215_0,RICHMOND,VA,https://articleextractor.org/pages/3215/vi_armani_ver02/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=10,0,sn84024735,https://articleextractor.org/pages/87409/vi_armani_ver02/sn84024735,1835-10-27,https://articleextractor.org/pages/87409/vi_armani_ver02/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=6
NA,x,"Richmond enquirer (Richmond, Va.)",1835,Yes,NA,AR,JACKSON COUNTY,1835/10/27,NA,10,27,seq-4,ed-1,1,Virginia,87409_1,0,3215_0,RICHMOND,VA,https://articleextractor.org/pages/3215/vi_armani_ver02/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=10,1,sn84024735,https://articleextractor.org/pages/87409/vi_armani_ver02/sn84024735,1835-10-27,https://articleextractor.org/pages/87409/vi_armani_ver02/sn84024735/1835/10/27/ed-1/seq-4/0?user_id=6
NA,x,Alexandria gazette,1836,No,NA,NA,NA,1836/01/04,NA,NA,NA,seq-2,NA,NA,NA,NA,0,15985_0,ALEXANDRIA,DC,https://articleextractor.org/pages/15985/vi_aquasox_ver01/sn85025007/1836/01/04/ed-1/seq-2/0?user_id=10,NA,sn85025007,NA,1836-01-04,https://articleextractor.org/pages/15985/vi_aquasox_ver01/sn85025007/1836/01/04/NA/seq-2/0?user_id=6
NA,x,NA,1836,Unreadable,NA,NA,NA,1836/02/26,NA,NA,NA,seq-1,NA,NA,NA,NA,1,7522_1,NA,NA,https://articleextractor.org/pages/7522/ohi_carrie_ver01/sn88078471/1836/02/26/ed-1/seq-1/0?user_id=10,NA,sn88078471,NA,1836-02-26,https://articleextractor.org/pages/7522/ohi_carrie_ver01/sn88078471/1836/02/26/NA/seq-1/0?user_id=6
NA,x,Richmond enquirer,1836,No,NA,NA,NA,1836/03/05,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15989_0,RICHMOND,VA,https://articleextractor.org/pages/15989/vi_armani_ver02/sn84024735/1836/03/05/ed-1/seq-4/0?user_id=10,NA,sn84024735,NA,1836-03-05,https://articleextractor.org/pages/15989/vi_armani_ver02/sn84024735/1836/03/05/NA/seq-4/0?user_id=6
NA,x,Richmond enquirer,1836,No,NA,NA,NA,1836/03/22,NA,NA,NA,seq-2,NA,NA,NA,NA,0,16456_0,RICHMOND,VA,https://articleextractor.org/pages/16456/vi_armani_ver02/sn84024735/1836/03/22/ed-1/seq-2/0?user_id=10,NA,sn84024735,NA,1836-03-22,https://articleextractor.org/pages/16456/vi_armani_ver02/sn84024735/1836/03/22/NA/seq-2/0?user_id=6
NA,x,Richmond enquirer,1836,No,NA,NA,NA,1836/03/22,NA,NA,NA,seq-2,NA,NA,NA,NA,0,15986_0,RICHMOND,VA,https://articleextractor.org/pages/15986/vi_naturals_ver01/sn84024735/1836/03/22/ed-1/seq-2/0?user_id=10,NA,sn84024735,NA,1836-03-22,https://articleextractor.org/pages/15986/vi_naturals_ver01/sn84024735/1836/03/22/NA/seq-2/0?user_id=6
NA,x,Virginia Free Press,1836,No,NA,NA,NA,1836/06/02,NA,NA,NA,seq-1,NA,NA,NA,NA,0,15962_0,CHARLESTOWN,WV,https://articleextractor.org/pages/15962/wvu_jacob_ver01/sn84026784/1836/06/02/ed-1/seq-1/0?user_id=10,NA,sn84026784,NA,1836-06-02,https://articleextractor.org/pages/15962/wvu_jacob_ver01/sn84026784/1836/06/02/NA/seq-1/0?user_id=6
NA,x,Alexandria gazette,1836,No,NA,NA,NA,1836/06/18,NA,NA,NA,seq-2,NA,NA,NA,NA,0,15983_0,ALEXANDRIA,DC,https://articleextractor.org/pages/15983/vi_aquasox_ver01/sn85025007/1836/06/18/ed-1/seq-2/0?user_id=10,NA,sn85025007,NA,1836-06-18,https://articleextractor.org/pages/15983/vi_aquasox_ver01/sn85025007/1836/06/18/NA/seq-2/0?user_id=6
NA,x,State journal,1836,No,NA,NA,NA,1836/06/21,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15984_0,MONTPELIER,VT,https://articleextractor.org/pages/15984/vtu_graniteville_ver01/sn84023199/1836/06/21/ed-1/seq-4/0?user_id=10,NA,sn84023199,NA,1836-06-21,https://articleextractor.org/pages/15984/vtu_graniteville_ver01/sn84023199/1836/06/21/NA/seq-4/0?user_id=6
NA,x,Vermont telegraph (Brandon [Vt.]),1836,No,NA,NA,NA,1836/07/14,NA,7,14,seq-4,ed-1,2,Vermont,87570_0,1,15987_1,BRANDON,VT,https://articleextractor.org/pages/15987/vtu_kirby_ver02/sn83025661/1836/07/14/ed-1/seq-4/0?user_id=10,0,sn83025661,https://articleextractor.org/pages/87570/vtu_kirby_ver02/sn83025661,1836-07-14,https://articleextractor.org/pages/87570/vtu_kirby_ver02/sn83025661/1836/07/14/ed-1/seq-4/0?user_id=6
NA,x,Vermont telegraph (Brandon [Vt.]),1836,No,NA,NA,NA,1836/07/14,NA,7,14,seq-4,ed-1,2,Vermont,87570_1,1,15987_1,BRANDON,VT,https://articleextractor.org/pages/15987/vtu_kirby_ver02/sn83025661/1836/07/14/ed-1/seq-4/0?user_id=10,1,sn83025661,https://articleextractor.org/pages/87570/vtu_kirby_ver02/sn83025661,1836-07-14,https://articleextractor.org/pages/87570/vtu_kirby_ver02/sn83025661/1836/07/14/ed-1/seq-4/0?user_id=6
NA,x,"South Branch intelligencer (Romney, Va. [W....)",1836,No,NA,NA,NA,1836/08/13,NA,8,13,seq-1,ed-1,1,West Virginia,14792_0,1,2875_1,ROMNEY,WV,https://articleextractor.org/pages/2875/wvu_queen_ver01/sn84026826/1836/08/13/ed-1/seq-1/0?user_id=10,0,sn84026826,https://articleextractor.org/pages/14792/wvu_queen_ver01/sn84026826,1836-08-13,https://articleextractor.org/pages/14792/wvu_queen_ver01/sn84026826/1836/08/13/ed-1/seq-1/0?user_id=6
NA,x,State journal,1836,No,NA,NA,NA,1836/08/30,NA,NA,NA,seq-1,NA,NA,NA,NA,1,6317_1,MONTPELIER,VT,https://articleextractor.org/pages/6317/vtu_graniteville_ver01/sn84023199/1836/08/30/ed-1/seq-1/0?user_id=10,NA,sn84023199,NA,1836-08-30,https://articleextractor.org/pages/6317/vtu_graniteville_ver01/sn84023199/1836/08/30/NA/seq-1/0?user_id=6
NA,x,VIRGINIA FREE PRESS,1836,No,NA,NA,NA,1836/10/06,NA,NA,NA,seq-1,NA,NA,NA,NA,0,16454_0,CHARLESTOWN,WV,https://articleextractor.org/pages/16454/wvu_jacob_ver01/sn84026784/1836/10/06/ed-1/seq-1/0?user_id=10,NA,sn84026784,NA,1836-10-06,https://articleextractor.org/pages/16454/wvu_jacob_ver01/sn84026784/1836/10/06/NA/seq-1/0?user_id=6
NA,x,Richmond enquirer,1836,No,NA,NA,NA,1836/10/28,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15968_0,RICHMOND,VA,https://articleextractor.org/pages/15968/vi_armani_ver02/sn84024735/1836/10/28/ed-1/seq-4/0?user_id=10,NA,sn84024735,NA,1836-10-28,https://articleextractor.org/pages/15968/vi_armani_ver02/sn84024735/1836/10/28/NA/seq-4/0?user_id=6
NA,x,"Constantine republican (Constantine, Mi...)",1836,Yes,NA,Can't verify,CHILLICOTHE,1836/11/09,NA,11,9,seq-1,ed-1,2,Michigan,87410_0,1,14154_1,CONSTANTINE,MI,https://articleextractor.org/pages/14154/mimtptc_alpena_ver01/sn83016620/1836/11/09/ed-1/seq-1/0?user_id=10,0,sn83016620,https://articleextractor.org/pages/87410/mimtptc_alpena_ver01/sn83016620,1836-11-09,https://articleextractor.org/pages/87410/mimtptc_alpena_ver01/sn83016620/1836/11/09/ed-1/seq-1/0?user_id=6
NA,x,Richmond enquirer,1836,No,NA,NA,NA,1836/11/15,NA,NA,NA,seq-2,NA,NA,NA,NA,0,15974_0,RICHMOND,VA,https://articleextractor.org/pages/15974/vi_armani_ver02/sn84024735/1836/11/15/ed-1/seq-2/0?user_id=10,NA,sn84024735,NA,1836-11-15,https://articleextractor.org/pages/15974/vi_armani_ver02/sn84024735/1836/11/15/NA/seq-2/0?user_id=6
NA,x,The Hillsborough recorder,1836,No,NA,NA,NA,1836/11/18,NA,NA,NA,seq-2,NA,NA,NA,NA,0,16459_0,HILLSBOROUGH,NC,https://articleextractor.org/pages/16459/ncu_hawk_ver02/sn84026472/1836/11/18/ed-1/seq-2/0?user_id=10,NA,sn84026472,NA,1836-11-18,https://articleextractor.org/pages/16459/ncu_hawk_ver02/sn84026472/1836/11/18/NA/seq-2/0?user_id=6
NA,x,Lynchburg Virginian,1836,No,NA,NA,NA,1836/11/21,NA,NA,NA,seq-1,NA,NA,NA,NA,0,15965_0,LYNCHBURG,VA,https://articleextractor.org/pages/15965/vi_dartmoor_ver03/sn84024649/1836/11/21/ed-1/seq-1/0?user_id=10,NA,sn84024649,NA,1836-11-21,https://articleextractor.org/pages/15965/vi_dartmoor_ver03/sn84024649/1836/11/21/NA/seq-1/0?user_id=6
NA,x,NA,1836,No,NA,NA,NA,1836/12/01,NA,NA,NA,seq-2,NA,NA,NA,NA,0,15980_0,NA,NA,https://articleextractor.org/pages/15980/wvu_jacob_ver01/sn84026784/1836/12/01/ed-1/seq-2/0?user_id=10,NA,sn84026784,NA,1836-12-01,https://articleextractor.org/pages/15980/wvu_jacob_ver01/sn84026784/1836/12/01/NA/seq-2/0?user_id=6
NA,x,NA,1836,No,NA,NA,NA,1836/12/20,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15976_0,NA,NA,https://articleextractor.org/pages/15976/msar_lightningbolt_ver03/sn87065592/1836/12/20/ed-1/seq-4/0?user_id=10,NA,sn87065592,NA,1836-12-20,https://articleextractor.org/pages/15976/msar_lightningbolt_ver03/sn87065592/1836/12/20/NA/seq-4/0?user_id=6
NA,x,Vermont telegraph,1837,No,NA,NA,NA,1837/01/25,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15973_0,BRANDON,VT,https://articleextractor.org/pages/15973/vtu_kirby_ver02/sn83025661/1837/01/25/ed-1/seq-4/0?user_id=10,NA,sn83025661,NA,1837-01-25,https://articleextractor.org/pages/15973/vtu_kirby_ver02/sn83025661/1837/01/25/NA/seq-4/0?user_id=6
NA,x,NA,1837,No,NA,NA,NA,1837/02/21,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15967_0,NA,NA,https://articleextractor.org/pages/15967/msar_lightningbolt_ver03/sn87065592/1837/02/21/ed-1/seq-4/0?user_id=10,NA,sn87065592,NA,1837-02-21,https://articleextractor.org/pages/15967/msar_lightningbolt_ver03/sn87065592/1837/02/21/NA/seq-4/0?user_id=6
NA,x,Vermont telegraph,1837,No,NA,NA,NA,1837/03/15,NA,NA,NA,seq-2,NA,NA,NA,NA,1,6330_1,BRANDON,VT,https://articleextractor.org/pages/6330/vtu_kirby_ver02/sn83025661/1837/03/15/ed-1/seq-2/0?user_id=10,NA,sn83025661,NA,1837-03-15,https://articleextractor.org/pages/6330/vtu_kirby_ver02/sn83025661/1837/03/15/NA/seq-2/0?user_id=6
NA,x,The North-Carolina standard,1837,No,NA,NA,NA,1837/04/12,NA,NA,NA,seq-4,NA,NA,NA,NA,1,7950_1,RALEIGH,NC,https://articleextractor.org/pages/7950/ncu_alligator_ver01/sn85042147/1837/04/12/ed-1/seq-4/0?user_id=10,NA,sn85042147,NA,1837-04-12,https://articleextractor.org/pages/7950/ncu_alligator_ver01/sn85042147/1837/04/12/NA/seq-4/0?user_id=6
NA,x,Lynchburg Virginian,1837,No,NA,NA,NA,1837/05/04,NA,NA,NA,seq-3,NA,NA,NA,NA,0,16475_0,LYNCHBURG,VA,https://articleextractor.org/pages/16475/vi_dartmoor_ver03/sn84024649/1837/05/04/ed-1/seq-3/0?user_id=10,NA,sn84024649,NA,1837-05-04,https://articleextractor.org/pages/16475/vi_dartmoor_ver03/sn84024649/1837/05/04/NA/seq-3/0?user_id=6
NA,x,Richmond palladium,1837,No,NA,NA,NA,1837/05/20,NA,NA,NA,seq-1,NA,NA,NA,NA,0,16530_0,RICHMOND,IA,https://articleextractor.org/pages/16530/in_indianapolisolympians_ver02/sn82016416/1837/05/20/ed-1/seq-1/0?user_id=10,NA,sn82016416,NA,1837-05-20,https://articleextractor.org/pages/16530/in_indianapolisolympians_ver02/sn82016416/1837/05/20/NA/seq-1/0?user_id=6
NA,x,Morning herald,1837,No,NA,NA,NA,1837/06/29,NA,NA,NA,seq-2,NA,NA,NA,NA,0,16493_0,NEW YORK,NY,https://articleextractor.org/pages/16493/dlc_laceflower_ver01/sn83030312/1837/06/29/ed-1/seq-2/0?user_id=10,NA,sn83030312,NA,1837-06-29,https://articleextractor.org/pages/16493/dlc_laceflower_ver01/sn83030312/1837/06/29/NA/seq-2/0?user_id=6
NA,x,Vermont telegraph (Brandon [Vt.]),1837,Yes,NA,TN,NASHVILLE,1837/08/09,NA,8,9,seq-2,ed-1,2,Vermont,87758_0,1,16492_1,BRANDON,VT,https://articleextractor.org/pages/16771/vtu_kirby_ver02/sn83025661/1837/08/09/ed-1/seq-2/1,0,sn83025661,https://articleextractor.org/pages/87758/vtu_kirby_ver02/sn83025661,1837-08-09,https://articleextractor.org/pages/87758/vtu_kirby_ver02/sn83025661/1837/08/09/ed-1/seq-2/0?user_id=6
