"","X","newspaper","location","date1","year","full_text","date_original","full_state","state1","city1","full_state1","city","state","pubX","publication","black","Newspapers"
"15",15,"The Cleveland gazette.","Cleveland, Ohio","May 03",1890,"The Cleveland gazette. [volume] (Cleveland, Ohio), May 03, 1890, Page 2, Image 2","May 03, 1890","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"16",16,"The Washington bee.","Washington, D.C.","October 04",1890,"The Washington bee. [volume] (Washington, D.C.), October 04, 1890, Image 2","October 04, 1890","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"17",17,"The New York age.","New York [N.Y.]","August 08",1891,"The New York age. [volume] (New York [N.Y.]), August 08, 1891, Image 2","August 08, 1891","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"18",18,"The Washington bee.","Washington, D.C.","September 05",1891,"The Washington bee. [volume] (Washington, D.C.), September 05, 1891, Image 3","September 05, 1891","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"19",19,"The Cleveland gazette.","Cleveland, Ohio","March 21",1891,"The Cleveland gazette. [volume] (Cleveland, Ohio), March 21, 1891, Image 1","March 21, 1891","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"20",20,"The New York age.","New York [N.Y.]","October 24",1891,"The New York age. [volume] (New York [N.Y.]), October 24, 1891, Page 4, Image 4","October 24, 1891","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"21",21,"The Washington bee.","Washington, D.C.","March 07",1891,"The Washington bee. [volume] (Washington, D.C.), March 07, 1891, Image 3","March 07, 1891","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"22",22,"The Washington bee.","Washington, D.C.","March 14",1891,"The Washington bee. [volume] (Washington, D.C.), March 14, 1891, Image 3","March 14, 1891","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"23",23,"The progress.","Omaha, Neb.","March 07",1891,"The progress. [volume] (Omaha, Neb.), March 07, 1891, Image 1","March 07, 1891","Nebraska","Neb","Omaha",NA,"Omaha","Neb.","the progress","The Progress","Y","The Progress (Omaha, Neb.) 1889-19??"
"24",24,"The New York age.","New York [N.Y.]","March 28",1891,"The New York age. [volume] (New York [N.Y.]), March 28, 1891, Image 2","March 28, 1891","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"25",25,"The New York age.","New York [N.Y.]","September 12",1891,"The New York age. [volume] (New York [N.Y.]), September 12, 1891, Image 2","September 12, 1891","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"26",26,"The New York age.","New York [N.Y.]","July 25",1891,"The New York age. [volume] (New York [N.Y.]), July 25, 1891, Image 1","July 25, 1891","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"27",27,"The Cleveland gazette.","Cleveland, Ohio","October 17",1891,"The Cleveland gazette. [volume] (Cleveland, Ohio), October 17, 1891, Page 2, Image 2","October 17, 1891","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"28",28,"The New York age.","New York [N.Y.]","February 28",1891,"The New York age. [volume] (New York [N.Y.]), February 28, 1891, Page 3, Image 3","February 28, 1891","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"29",29,"Evening star.","Washington, D.C.","January 01",1891,"Evening star. [volume] (Washington, D.C.), January 01, 1891, Page 8, Image 8","January 01, 1891","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"30",30,"The Cleveland gazette.","Cleveland, Ohio","August 01",1891,"The Cleveland gazette. [volume] (Cleveland, Ohio), August 01, 1891, Page 2, Image 2","August 01, 1891","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"31",31,"The Cleveland gazette.","Cleveland, Ohio","September 05",1891,"The Cleveland gazette. [volume] (Cleveland, Ohio), September 05, 1891, Image 1","September 05, 1891","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"32",32,"The Washington bee.","Washington, D.C.","October 29",1892,"The Washington bee. [volume] (Washington, D.C.), October 29, 1892, Image 3","October 29, 1892","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"33",33,"Afro-American advocate.","Coffeyville, Kan.","August 19",1892,"Afro-American advocate. [volume] (Coffeyville, Kan.), August 19, 1892, Image 2","August 19, 1892","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"34",34,"The freeman.","Indianapolis [Ind.]","June 11",1892,"The freeman. [volume] (Indianapolis [Ind.]), June 11, 1892, Image 4","June 11, 1892","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"35",35,"The Washington bee.","Washington, D.C.","October 29",1892,"The Washington bee. [volume] (Washington, D.C.), October 29, 1892, Image 1","October 29, 1892","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"36",36,"The freeman.","Indianapolis [Ind.]","August 20",1892,"The freeman. [volume] (Indianapolis [Ind.]), August 20, 1892, Image 4","August 20, 1892","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"37",37,"The New York age.","New York [N.Y.]","November 19",1892,"The New York age. [volume] (New York [N.Y.]), November 19, 1892, Image 1","November 19, 1892","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"38",38,"The Cleveland gazette.","Cleveland, Ohio","October 15",1892,"The Cleveland gazette. [volume] (Cleveland, Ohio), October 15, 1892, Page 2, Image 2","October 15, 1892","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"39",39,"The New York age.","New York [N.Y.]","February 06",1892,"The New York age. [volume] (New York [N.Y.]), February 06, 1892, Image 2","February 06, 1892","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"40",40,"The freeman.","Indianapolis [Ind.]","December 17",1892,"The freeman. [volume] (Indianapolis [Ind.]), December 17, 1892, Image 9","December 17, 1892","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"41",41,"The freeman.","Indianapolis [Ind.]","July 02",1892,"The freeman. [volume] (Indianapolis [Ind.]), July 02, 1892, Image 6","July 02, 1892","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"42",42,"The Cleveland gazette.","Cleveland, Ohio","February 06",1892,"The Cleveland gazette. [volume] (Cleveland, Ohio), February 06, 1892, Page 2, Image 2","February 06, 1892","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"43",43,"The Cleveland gazette.","Cleveland, Ohio","July 09",1892,"The Cleveland gazette. [volume] (Cleveland, Ohio), July 09, 1892, Image 1","July 09, 1892","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"44",44,"The Anaconda standard.","Anaconda, Mont.","November 09",1892,"The Anaconda standard. [volume] (Anaconda, Mont.), November 09, 1892, Page 2, Image 2","November 09, 1892","Montana","Mont","Anaconda",NA,"Anaconda","Mont.","the anaconda standard",NA,"N",NA
"45",45,"The Cleveland gazette.","Cleveland, Ohio","May 28",1892,"The Cleveland gazette. [volume] (Cleveland, Ohio), May 28, 1892, Page 2, Image 2","May 28, 1892","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"46",46,"The Helena independent.","Helena, Mont.","August 21",1892,"The Helena independent. [volume] (Helena, Mont.), August 21, 1892, Morning, Page 10, Image 10","August 21, 1892","Montana","Mont","Helena",NA,"Helena","Mont.","the helena independent",NA,"N",NA
"47",47,"The freeman.","Indianapolis [Ind.]","May 07",1892,"The freeman. [volume] (Indianapolis [Ind.]), May 07, 1892, Image 3","May 07, 1892","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"48",48,"The Washington bee.","Washington, D.C.","June 11",1892,"The Washington bee. [volume] (Washington, D.C.), June 11, 1892, Image 2","June 11, 1892","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"49",49,"The Appeal.","Saint Paul, Minn. ;","August 27",1892,"The Appeal. [volume] (Saint Paul, Minn. ;), August 27, 1892, Image 1","August 27, 1892","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"50",50,"The New York age.","New York [N.Y.]","November 19",1892,"The New York age. [volume] (New York [N.Y.]), November 19, 1892, Image 2","November 19, 1892","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"51",51,"The Appeal.","Saint Paul, Minn. ;","August 20",1892,"The Appeal. [volume] (Saint Paul, Minn. ;), August 20, 1892, Page 2, Image 2","August 20, 1892","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"52",52,"The freeman.","Indianapolis [Ind.]","November 25",1893,"The freeman. [volume] (Indianapolis [Ind.]), November 25, 1893, Image 5","November 25, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"53",53,"Afro-American advocate.","Coffeyville, Kan.","April 28",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), April 28, 1893, Image 4","April 28, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"54",54,"Afro-American advocate.","Coffeyville, Kan.","May 05",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), May 05, 1893, Image 4","May 05, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"55",55,"Afro-American advocate.","Coffeyville, Kan.","August 11",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), August 11, 1893, Image 4","August 11, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"56",56,"The freeman.","Indianapolis [Ind.]","February 25",1893,"The freeman. [volume] (Indianapolis [Ind.]), February 25, 1893, Image 5","February 25, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"57",57,"Afro-American advocate.","Coffeyville, Kan.","May 26",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), May 26, 1893, Image 8","May 26, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"58",58,"Afro-American advocate.","Coffeyville, Kan.","May 12",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), May 12, 1893, Image 4","May 12, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"59",59,"Afro-American advocate.","Coffeyville, Kan.","August 18",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), August 18, 1893, Image 4","August 18, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"60",60,"The freeman.","Indianapolis [Ind.]","July 08",1893,"The freeman. [volume] (Indianapolis [Ind.]), July 08, 1893, Image 5","July 08, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"61",61,"The Atchison blade.","Atchison, Kan.","October 07",1893,"The Atchison blade. [volume] (Atchison, Kan.), October 07, 1893, Image 2","October 07, 1893","Kansas","Kan","Atchison",NA,"Atchison","Kan.","the atchison blade","The Atchison Blade","Y","The Atchison Blade (Atchison, Kan.) 1892-1898"
"62",62,"The gazette.","Cleveland, Ohio","February 25",1893,"The gazette. [volume] (Cleveland, Ohio), February 25, 1893, Page 2, Image 2","February 25, 1893","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"63",63,"The freeman.","Indianapolis [Ind.]","March 04",1893,"The freeman. [volume] (Indianapolis [Ind.]), March 04, 1893, Image 4","March 04, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"64",64,"The plaindealer.","Detroit, Mich.","February 24",1893,"The plaindealer. [volume] (Detroit, Mich.), February 24, 1893, Image 4","February 24, 1893","Michigan","Mich","Detroit",NA,"Detroit","Mich.","the plaindealer","The Plaindealer","Y","The Plaindealer (Detroit, Mich.) 1883-1895"
"65",65,"The Atchison blade.","Atchison, Kan.","March 25",1893,"The Atchison blade. [volume] (Atchison, Kan.), March 25, 1893, Image 1","March 25, 1893","Kansas","Kan","Atchison",NA,"Atchison","Kan.","the atchison blade","The Atchison Blade","Y","The Atchison Blade (Atchison, Kan.) 1892-1898"
"66",66,"Afro-American advocate.","Coffeyville, Kan.","April 21",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), April 21, 1893, Image 4","April 21, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"67",67,"The freeman.","Indianapolis [Ind.]","July 29",1893,"The freeman. [volume] (Indianapolis [Ind.]), July 29, 1893, Image 1","July 29, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"68",68,"Afro-American advocate.","Coffeyville, Kan.","August 25",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), August 25, 1893, Image 4","August 25, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"69",69,"Afro-American advocate.","Coffeyville, Kan.","September 01",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), September 01, 1893, Image 4","September 01, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"70",70,"The freeman.","Indianapolis [Ind.]","November 25",1893,"The freeman. [volume] (Indianapolis [Ind.]), November 25, 1893, Image 8","November 25, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"71",71,"The gazette.","Cleveland, Ohio","September 09",1893,"The gazette. [volume] (Cleveland, Ohio), September 09, 1893, Image 1","September 09, 1893","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"72",72,"The freeman.","Indianapolis [Ind.]","August 05",1893,"The freeman. [volume] (Indianapolis [Ind.]), August 05, 1893, Image 4","August 05, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"73",73,"Huntsville gazette.","Huntsville, Ala.","July 29",1893,"Huntsville gazette. [volume] (Huntsville, Ala.), July 29, 1893, Image 2","July 29, 1893","Alabama","Ala","Huntsville",NA,"Huntsville","Ala.","huntsville gazette","Huntsville Gazette","Y","Huntsville Gazette (Huntsville, Ala.) 1879-1894"
"74",74,"The Providence news.","Providence [R.I.]","February 18",1893,"The Providence news. (Providence [R.I.]), February 18, 1893, Image 7","February 18, 1893","Rhode Island",NA,"Providence RI",NA,"Providence [R.I.]",NA,"the providence news",NA,"N",NA
"75",75,"The freeman.","Indianapolis [Ind.]","July 08",1893,"The freeman. [volume] (Indianapolis [Ind.]), July 08, 1893, Image 6","July 08, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"76",76,"The Salt Lake herald.","Salt Lake City [Utah]","June 06",1893,"The Salt Lake herald. [volume] (Salt Lake City [Utah]), June 06, 1893, Page 4, Image 4","June 06, 1893","Utah",NA,"Salt Lake City Utah",NA,"Salt Lake City [Utah]",NA,"the salt lake herald",NA,"N",NA
"77",77,"The plaindealer.","Detroit, Mich.","April 28",1893,"The plaindealer. [volume] (Detroit, Mich.), April 28, 1893, Image 4","April 28, 1893","Michigan","Mich","Detroit",NA,"Detroit","Mich.","the plaindealer","The Plaindealer","Y","The Plaindealer (Detroit, Mich.) 1883-1895"
"78",78,"The freeman.","Indianapolis [Ind.]","February 11",1893,"The freeman. [volume] (Indianapolis [Ind.]), February 11, 1893, Image 5","February 11, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"79",79,"The freeman.","Indianapolis [Ind.]","June 03",1893,"The freeman. [volume] (Indianapolis [Ind.]), June 03, 1893, Image 7","June 03, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"80",80,"The freeman.","Indianapolis [Ind.]","March 18",1893,"The freeman. [volume] (Indianapolis [Ind.]), March 18, 1893, Image 5","March 18, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"81",81,"The gazette.","Cleveland, Ohio","March 25",1893,"The gazette. [volume] (Cleveland, Ohio), March 25, 1893, Page 3, Image 3","March 25, 1893","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"82",82,"Afro-American advocate.","Coffeyville, Kan.","May 26",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), May 26, 1893, Image 12","May 26, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"83",83,"Afro-American advocate.","Coffeyville, Kan.","June 30",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), June 30, 1893, Image 4","June 30, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"84",84,"Afro-American advocate.","Coffeyville, Kan.","July 21",1893,"Afro-American advocate. [volume] (Coffeyville, Kan.), July 21, 1893, Image 4","July 21, 1893","Kansas","Kan","Coffeyville",NA,"Coffeyville","Kan.","afroamerican advocate","Afro-American Advocate","Y","Afro-American Advocate (Coffeyville, Kan.) 1891-1893"
"85",85,"The freeman.","Indianapolis [Ind.]","July 22",1893,"The freeman. [volume] (Indianapolis [Ind.]), July 22, 1893, Image 1","July 22, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"86",86,"The freeman.","Indianapolis [Ind.]","August 12",1893,"The freeman. [volume] (Indianapolis [Ind.]), August 12, 1893, Image 1","August 12, 1893","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"87",87,"The gazette.","Cleveland, Ohio","July 22",1893,"The gazette. [volume] (Cleveland, Ohio), July 22, 1893, Page 2, Image 2","July 22, 1893","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"88",88,"The gazette.","Cleveland, Ohio","March 18",1893,"The gazette. [volume] (Cleveland, Ohio), March 18, 1893, Image 1","March 18, 1893","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"89",89,"The morning news.","Savannah, Ga.","June 05",1893,"The morning news. [volume] (Savannah, Ga.), June 05, 1893, Page 4, Image 4","June 05, 1893","Georgia","Ga","Savannah",NA,"Savannah","Ga.","the morning news",NA,"N",NA
"90",90,"The gazette.","Cleveland, Ohio","July 15",1893,"The gazette. [volume] (Cleveland, Ohio), July 15, 1893, Page 2, Image 2","July 15, 1893","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
