"","...1","file_id","article_id","sn","newspaper_name","year","month","day","page","edition","mod_id","URL","newspaper_state","file_id2"
"20",618,"8338","0","sn88053055",NA,"1900","3","8","seq-4","ed-1","2","http://localhost:62222/pages/8338/deu_fidelius_ver01/sn88053055/1900/03/08/ed-1/seq-4/2","Delaware","8338_0"
"21",2599,"8343","0","sn83035565","The Greenville journal (Greenville, Ohi...)","1908","9","3","seq-2","ed-1","2","http://localhost:62222/pages/8343/ohi_gann_ver01/sn83035565/1908/09/03/ed-1/seq-2/2","Ohio","8343_0"
"22",3440,"8347","0","sn84022770","Washington standard (Olympia, Wash. ...)","1897","9","10","seq-2","ed-1","2","http://localhost:62222/pages/8347/wa_kittitas_ver01/sn84022770/1897/09/10/ed-1/seq-2/2","Washington","8347_0"
"23",1920,"8354","0","sn87065327",NA,"1908","8","21","seq-1","ed-1","2","http://localhost:62222/pages/8354/msar_hematite_ver01/sn87065327/1908/08/21/ed-1/seq-1/2","Mississippi","8354_0"
"24",1918,"8354","1","sn87065327",NA,"1908","8","21","seq-1","ed-1","2","http://localhost:62222/pages/8354/msar_hematite_ver01/sn87065327/1908/08/21/ed-1/seq-1/2","Mississippi","8354_1"
"25",223,"8369","0","sn82015133","Arizona weekly citizen (Tucson, Ariz)","1895","7","20","seq-3","ed-1","1","http://localhost:62222/pages/8369/az_hedgehog_ver01/sn82015133/1895/07/20/ed-1/seq-3/1","Arizona","8369_0"
"26",2739,"8374","0","sn99063956",NA,"1900","6","9","seq-1","ed-1","1","http://localhost:62222/pages/8374/oru_estlund_ver01/sn99063956/1900/06/09/ed-1/seq-1/1","Oregon","8374_0"
"27",3370,"8380","0","sn86071593",NA,"1918","4","6","seq-1","ed-1","1","http://localhost:62222/pages/8380/vtu_horseradish_ver01/sn86071593/1918/04/06/ed-1/seq-1/1","Vermont","8380_0"
"28",1670,"8384","0","sn89081022","Willmar tribune (Willmar, Minn.)","1910","3","9","seq-8","ed-1","1","http://localhost:62222/pages/8384/mnhi_ford_ver01/sn89081022/1910/03/09/ed-1/seq-8/1","Minnesota","8384_0"
"29",1071,"8486","0","sn82015679","The Indianapolis journal (Indianapolis [I...)","1897","4","15","seq-4","ed-1","1","http://localhost:62222/pages/8486/in_kerr_ver01/sn82015679/1897/04/15/ed-1/seq-4/1","Indiana","8486_0"
"30",3256,"8489","0","sn85025007","Alexandria gazette (Alexandria, D.C...)","1869","1","19","seq-3","ed-1","1","http://localhost:62222/pages/8489/vi_connemara_ver01/sn85025007/1869/01/19/ed-1/seq-3/1","District of Columbia","8489_0"
"31",1710,"8526","0","sn85025620","The Worthington advance (Worthington, Mi...)","1882","1","5","seq-1","ed-1","1","http://localhost:62222/pages/8526/mnhi_golf_ver01/sn85025620/1882/01/05/ed-1/seq-1/1","Minnesota","8526_0"
"32",1709,"8526","1","sn85025620","The Worthington advance (Worthington, Mi...)","1882","1","5","seq-1","ed-1","1","http://localhost:62222/pages/8526/mnhi_golf_ver01/sn85025620/1882/01/05/ed-1/seq-1/1","Minnesota","8526_1"
"33",3215,"8534","0","sn85058130","The Salt Lake herald (Salt Lake City ...)","1880","3","12","seq-2","ed-1","1","http://localhost:62222/pages/8534/uuml_griffith_ver01/sn85058130/1880/03/12/ed-1/seq-2/1","Utah","8534_0"
"34",2454,"8540","0","sn91064011","Newark evening star and Newark advertiser (Newark, N.J.)","1913","5","9","seq-20","ed-1","1","http://localhost:62222/pages/8540/njr_dante_ver01/sn91064011/1913/05/09/ed-1/seq-20/1","New Jersey","8540_0"
"35",974,"8547","0","sn85050913","Webster City freeman (Webster City, H...)","1914","9","15","seq-2","ed-1","1","http://localhost:62222/pages/8547/iahi_imogene_ver01/sn85050913/1914/09/15/ed-1/seq-2/1","Iowa","8547_0"
"36",2782,"8559","0","2012218613",NA,"1885","10","28","seq-4","ed-1","1","http://localhost:62222/pages/8559/scu_henryjohnson_ver01/2012218613/1885/10/28/ed-1/seq-4/1","South Carolina","8559_0"
"37",2791,"8559","1","2012218613",NA,"1885","10","28","seq-4","ed-1","1","http://localhost:62222/pages/8559/scu_henryjohnson_ver01/2012218613/1885/10/28/ed-1/seq-4/1","South Carolina","8559_1"
"38",2793,"8559","2","2012218613",NA,"1885","10","28","seq-4","ed-1","1","http://localhost:62222/pages/8559/scu_henryjohnson_ver01/2012218613/1885/10/28/ed-1/seq-4/1","South Carolina","8559_2"
"39",3525,"8583","0","sn84026824","Shepherdstown register (Shepherdstown, ...)","1886","6","11","seq-3","ed-1","1","http://localhost:62222/pages/8583/wvu_antares_ver02/sn84026824/1886/06/11/ed-1/seq-3/1","West Virginia","8583_0"
"40",2797,"8584","0","sn84026853","The Abbeville press and banner (Abbeville, S.C.)","1879","7","16","seq-2","ed-1","1","http://localhost:62222/pages/8584/scu_joshwhite_ver01/sn84026853/1879/07/16/ed-1/seq-2/1","South Carolina","8584_0"
"41",2634,"8588","0","sn84028194","Northern Ohio journal (Painesville, Oh...)","1876","9","30","seq-1","ed-1","1","http://localhost:62222/pages/8588/ohi_norgay_ver01/sn84028194/1876/09/30/ed-1/seq-1/1","Ohio","8588_0"
"42",3308,"8589","0","sn84025841","Richmond planet (Richmond, Va.)","1895","5","4","seq-3","ed-1","1","http://localhost:62222/pages/8589/vi_yes_ver01/sn84025841/1895/05/04/ed-1/seq-3/1","Virginia","8589_0"
"43",1853,"8593","0","sn89067274",NA,"1895","12","26","seq-2","ed-1","1","http://localhost:62222/pages/8593/mohi_garfield_ver01/sn89067274/1895/12/26/ed-1/seq-2/1","Missouri","8593_0"
"44",3304,"8601","0","sn95079246",NA,"1894","8","10","seq-2","ed-1","1","http://localhost:62222/pages/8601/vi_styx_ver01/sn95079246/1894/08/10/ed-1/seq-2/1","Virginia","8601_0"
"45",3305,"8601","1","sn95079246",NA,"1894","8","10","seq-2","ed-1","1","http://localhost:62222/pages/8601/vi_styx_ver01/sn95079246/1894/08/10/ed-1/seq-2/1","Virginia","8601_1"
"46",863,"8606","0","sn89053706","The Atlanta constitution (Atlanta, Ga.)","1887","11","29","seq-3","ed-1","1","http://localhost:62222/pages/8606/gu_fornax_ver01/sn89053706/1887/11/29/ed-1/seq-3/1","Georgia","8606_0"
"47",3257,"8613","0","sn85025007","Alexandria gazette (Alexandria, D.C...)","1855","7","26","seq-2","ed-1","1","http://localhost:62222/pages/8613/vi_drive_ver01/sn85025007/1855/07/26/ed-1/seq-2/1","District of Columbia","8613_0"
"48",2246,"8620","0","sn91068084","Fisherman & farmer (Edenton, N.C.)","1899","4","28","seq-2","ed-1","1","http://localhost:62222/pages/8620/ncu_elk_ver01/sn91068084/1899/04/28/ed-1/seq-2/1","North Carolina","8620_0"
"49",782,"8635","0","sn83045462","Evening star (Washington, D.C...)","1881","10","5","seq-2","ed-1","1","http://localhost:62222/pages/8635/dlc_newfoundland_ver04/sn83045462/1881/10/05/ed-1/seq-2/1","District of Columbia","8635_0"
"50",675,"8636","0","sn84025890","The bee (Washington, D.C...)","1882","12","30","seq-3","ed-1","1","http://localhost:62222/pages/8636/dlc_grover_ver01/sn84025890/1882/12/30/ed-1/seq-3/1","District of Columbia","8636_0"
"51",3309,"8652","0","sn84025841","Richmond planet (Richmond, Va.)","1895","10","19","seq-3","ed-1","1","http://localhost:62222/pages/8652/vi_yes_ver01/sn84025841/1895/10/19/ed-1/seq-3/1","Virginia","8652_0"
"52",3310,"8652","1","sn84025841","Richmond planet (Richmond, Va.)","1895","10","19","seq-3","ed-1","1","http://localhost:62222/pages/8652/vi_yes_ver01/sn84025841/1895/10/19/ed-1/seq-3/1","Virginia","8652_1"
"53",1738,"8690","0","sn89064526",NA,"1894","5","4","seq-4","ed-1","1","http://localhost:62222/pages/8690/mnhi_neon_ver01/sn89064526/1894/05/04/ed-1/seq-4/1","Minnesota","8690_0"
"54",1546,"8706","0","sn96077142",NA,"1901","6","15","seq-2","ed-1","1","http://localhost:62222/pages/8706/mimtptc_jonesville_ver01/sn96077142/1901/06/15/ed-1/seq-2/1","Michigan","8706_0"
"55",1118,"8780","0","sn84020097","The daily worker (Chicago, Ill.)","1932","3","19","seq-1","ed-1","1","http://localhost:62222/pages/8780/iune_fluorite_ver01/sn84020097/1932/03/19/ed-1/seq-1/1","Illinois","8780_0"
"56",1046,"8803","0","sn87056244",NA,"1903","4","23","seq-6","ed-1","1","http://localhost:62222/pages/8803/in_dillinger_ver02/sn87056244/1903/04/23/ed-1/seq-6/1","Indiana","8803_0"
"57",2192,"8811","0","sn99021999",NA,"1909","12","28","seq-4","ed-1","1","http://localhost:62222/pages/8811/nbu_quarrie_ver01/sn99021999/1909/12/28/ed-1/seq-4/1","Nebraska","8811_0"
"58",3455,"8836","0","sn85033078","Wood County reporter (Grand Rapids [i...)","1891","4","2","seq-5","ed-1","1","http://localhost:62222/pages/8836/whi_belle_ver01/sn85033078/1891/04/02/ed-1/seq-5/1","Wisconsin","8836_0"
"59",3454,"8836","1","sn85033078","Wood County reporter (Grand Rapids [i...)","1891","4","2","seq-5","ed-1","1","http://localhost:62222/pages/8836/whi_belle_ver01/sn85033078/1891/04/02/ed-1/seq-5/1","Wisconsin","8836_1"
"60",1033,"8843","0","sn82015679","The Indianapolis journal (Indianapolis [I...)","1892","1","29","seq-2","ed-1","1","http://localhost:62222/pages/8843/in_beveridge_ver01/sn82015679/1892/01/29/ed-1/seq-2/1","Indiana","8843_0"
"61",1716,"8864","0","sn85025620","The Worthington advance (Worthington, Mi...)","1893","6","15","seq-2","ed-1","1","http://localhost:62222/pages/8864/mnhi_honda_ver01/sn85025620/1893/06/15/ed-1/seq-2/1","Minnesota","8864_0"
"62",1763,"8865","0","sn85025431","Mower County transcript (Lansing, Minn.)","1883","1","3","seq-6","ed-1","1","http://localhost:62222/pages/8865/mnhi_quasar_ver01/sn85025431/1883/01/03/ed-1/seq-6/1","Minnesota","8865_0"
"63",1756,"8865","1","sn85025431","Mower County transcript (Lansing, Minn.)","1883","1","3","seq-6","ed-1","1","http://localhost:62222/pages/8865/mnhi_quasar_ver01/sn85025431/1883/01/03/ed-1/seq-6/1","Minnesota","8865_1"
"64",1770,"8865","2","sn85025431","Mower County transcript (Lansing, Minn.)","1883","1","3","seq-6","ed-1","1","http://localhost:62222/pages/8865/mnhi_quasar_ver01/sn85025431/1883/01/03/ed-1/seq-6/1","Minnesota","8865_2"
"65",1773,"8865","3","sn85025431","Mower County transcript (Lansing, Minn.)","1883","1","3","seq-6","ed-1","1","http://localhost:62222/pages/8865/mnhi_quasar_ver01/sn85025431/1883/01/03/ed-1/seq-6/1","Minnesota","8865_3"
"66",1775,"8865","4","sn85025431","Mower County transcript (Lansing, Minn.)","1883","1","3","seq-6","ed-1","1","http://localhost:62222/pages/8865/mnhi_quasar_ver01/sn85025431/1883/01/03/ed-1/seq-6/1","Minnesota","8865_4"
"67",1776,"8865","5","sn85025431","Mower County transcript (Lansing, Minn.)","1883","1","3","seq-6","ed-1","1","http://localhost:62222/pages/8865/mnhi_quasar_ver01/sn85025431/1883/01/03/ed-1/seq-6/1","Minnesota","8865_5"
"68",1780,"8865","6","sn85025431","Mower County transcript (Lansing, Minn.)","1883","1","3","seq-6","ed-1","1","http://localhost:62222/pages/8865/mnhi_quasar_ver01/sn85025431/1883/01/03/ed-1/seq-6/1","Minnesota","8865_6"
"69",1065,"8885","0","sn82015679","The Indianapolis journal (Indianapolis [I...)","1901","9","26","seq-4","ed-1","1","http://localhost:62222/pages/8885/in_ittenbach_ver01/sn82015679/1901/09/26/ed-1/seq-4/1","Indiana","8885_0"
"70",3247,"8904","0","sn85026941","Shenandoah herald (Woodstock, Va.)","1902","1","31","seq-2","ed-1","1","http://localhost:62222/pages/8904/vi_boston_ver01/sn85026941/1902/01/31/ed-1/seq-2/1","Virginia","8904_0"
"71",3556,"8925","0","sn84037844","The Clarksburg telegram (Clarksburg, W. ...)","1904","3","11","seq-9","ed-1","1","http://localhost:62222/pages/8925/wvu_jones_ver02/sn84037844/1904/03/11/ed-1/seq-9/1","West Virginia","8925_0"
"72",3248,"8931","0","sn85026941","Shenandoah herald (Woodstock, Va.)","1905","9","29","seq-2","ed-1","1","http://localhost:62222/pages/8931/vi_boston_ver01/sn85026941/1905/09/29/ed-1/seq-2/1","Virginia","8931_0"
"73",1717,"8935","0","sn91059392","The sun (Morris, Stevens...)","1894","8","16","seq-1","ed-1","1","http://localhost:62222/pages/8935/mnhi_hula_ver01/sn91059392/1894/08/16/ed-1/seq-1/1","Minnesota","8935_0"
"74",1517,"9273","0","sn85026421","The Lake County star (Chase, Mich.)","1886","9","16","seq-2","ed-1","2","http://localhost:62222/pages/9273/mimtptc_beulah_ver01/sn85026421/1886/09/16/ed-1/seq-2/2","Michigan","9273_0"
"75",2027,"9339","0","sn99021999",NA,"1891","5","13","seq-5","ed-1","4","http://localhost:62222/pages/9339/nbu_alliance_ver01/sn99021999/1891/05/13/ed-1/seq-5/4","Nebraska","9339_0"
"76",3096,"9426","1","sn83021327","The weekly democratic statesman (Austin, Tex.)","1874","6","4","seq-2","ed-1","3","http://localhost:62222/pages/9426/txdn_audi_ver01/sn83021327/1874/06/04/ed-1/seq-2/3","Texas","9426_1"
"77",1650,"9431","1","sn83016810","The Appeal (Saint Paul, Min...)","1897","9","25","seq-2","ed-1","3","http://localhost:62222/pages/9431/mnhi_effie_ver01/sn83016810/1897/09/25/ed-1/seq-2/3","Illinois","9431_1"
"78",3311,"9432","1","sn84025841","Richmond planet (Richmond, Va.)","1896","4","4","seq-2","ed-1","3","http://localhost:62222/pages/9432/vi_yes_ver01/sn84025841/1896/04/04/ed-1/seq-2/3","Virginia","9432_1"
"79",1750,"9435","1","sn90059228","Warren sheaf (Warren, Marshal...)","1895","5","2","seq-2","ed-1","3","http://localhost:62222/pages/9435/mnhi_orr_ver01/sn90059228/1895/05/02/ed-1/seq-2/3","Minnesota","9435_1"
"80",748,"9437","1","sn83030313","The New York herald (New York [N.Y.])","1872","11","21","seq-9","ed-1","3","http://localhost:62222/pages/9437/dlc_juneberry_ver01/sn83030313/1872/11/21/ed-1/seq-9/3","New York","9437_1"
"81",3312,"9439","1","sn84025841","Richmond planet (Richmond, Va.)","1896","5","23","seq-2","ed-1","3","http://localhost:62222/pages/9439/vi_yes_ver01/sn84025841/1896/05/23/ed-1/seq-2/3","Virginia","9439_1"
"82",791,"9449","1","sn83030313","The New York herald (New York [N.Y.])","1878","6","1","seq-2","ed-1","3","http://localhost:62222/pages/9449/dlc_poppy_ver01/sn83030313/1878/06/01/ed-1/seq-2/3","New York","9449_1"
"83",1644,"9452","1","sn83025287","Daily globe (St. Paul, Minn.)","1878","12","24","seq-1","ed-1","3","http://localhost:62222/pages/9452/mnhi_dunbar_ver01/sn83025287/1878/12/24/ed-1/seq-1/3","Minnesota","9452_1"
"84",3447,"9457","1","sn85033078","Wood County reporter (Grand Rapids [i...)","1886","11","18","seq-3","ed-1","3","http://localhost:62222/pages/9457/whi_ada_ver01/sn85033078/1886/11/18/ed-1/seq-3/3","Wisconsin","9457_1"
"85",2304,"9462","1","sn91068367","The semi-weekly messenger (Wilmington, N.C...)","1906","12","7","seq-2","ed-1","3","http://localhost:62222/pages/9462/ncu_green_ver01/sn91068367/1906/12/07/ed-1/seq-2/3","North Carolina","9462_1"
"86",1729,"9463","1","sn86063381","The Bemidji daily pioneer (Bemidji, Minn.)","1906","8","2","seq-1","ed-1","3","http://localhost:62222/pages/9463/mnhi_jevne_ver02/sn86063381/1906/08/02/ed-1/seq-1/3","Minnesota","9463_1"
"87",1991,"9473","1","sn84036012","The Anaconda standard (Anaconda, Mont.)","1894","10","15","seq-1","ed-1","3","http://localhost:62222/pages/9473/mthi_darter_ver01/sn84036012/1894/10/15/ed-1/seq-1/3","Montana","9473_1"
"88",1242,"9478","1","sn82015080","Barbour County index (Medicine Lodge,...)","1887","10","5","seq-4","ed-1","3","http://localhost:62222/pages/9478/khi_harvey_ver03/sn82015080/1887/10/05/ed-1/seq-4/3","Kansas","9478_1"
"89",1754,"9502","1","sn90059228","Warren sheaf (Warren, Marshal...)","1902","9","25","seq-7","ed-1","2","http://localhost:62222/pages/9502/mnhi_orr_ver01/sn90059228/1902/09/25/ed-1/seq-7/2","Minnesota","9502_1"
"90",1892,"9519","1","sn88067090",NA,"1888","2","25","seq-3","ed-1","3","http://localhost:62222/pages/9519/msar_cotton_ver01/sn88067090/1888/02/25/ed-1/seq-3/3","Mississippi","9519_1"
"91",2611,"9521","1","sn87076916",NA,"1886","2","1","seq-2","ed-1","3","http://localhost:62222/pages/9521/ohi_hotel_ver01/sn87076916/1886/02/01/ed-1/seq-2/3","Ohio","9521_1"
"92",1322,"9526","1","sn86069395","Hopkinsville Kentuckian (Hopkinsville, K...)","1896","7","10","seq-2","ed-1","3","http://localhost:62222/pages/9526/kyu_fargo_ver01/sn86069395/1896/07/10/ed-1/seq-2/3","Kentucky","9526_1"
"93",3259,"9528","1","sn85025007","Alexandria gazette (Alexandria, D.C...)","1900","4","3","seq-2","ed-1","3","http://localhost:62222/pages/9528/vi_eagles_ver01/sn85025007/1900/04/03/ed-1/seq-2/3","District of Columbia","9528_1"
"94",3262,"9533","1","sn85025007","Alexandria gazette (Alexandria, D.C...)","1900","8","23","seq-2","ed-1","3","http://localhost:62222/pages/9533/vi_eagles_ver01/sn85025007/1900/08/23/ed-1/seq-2/3","District of Columbia","9533_1"
"95",3314,"9535","1","sn84025841","Richmond planet (Richmond, Va.)","1898","5","21","seq-4","ed-1","3","http://localhost:62222/pages/9535/vi_yes_ver01/sn84025841/1898/05/21/ed-1/seq-4/3","Virginia","9535_1"
"96",1001,"9541","1","sn83025167","The Iowa plain dealer (New Oregon, How...)","1889","1","3","seq-2","ed-1","4","http://localhost:62222/pages/9541/iahi_lapras_ver01/sn83025167/1889/01/03/ed-1/seq-2/4","Iowa","9541_1"
"97",1746,"9543","1","sn90059228","Warren sheaf (Warren, Marshal...)","1891","7","16","seq-3","ed-1","3","http://localhost:62222/pages/9543/mnhi_orr_ver01/sn90059228/1891/07/16/ed-1/seq-3/3","Minnesota","9543_1"
"98",2925,"9550","1","sn99067984",NA,"1909","11","19","seq-6","ed-1","3","http://localhost:62222/pages/9550/sdhi_kauai_ver01/sn99067984/1909/11/19/ed-1/seq-6/3","South Dakota","9550_1"
"99",2254,"9551","1","sn84026483","The Robesonian (Lumberton, N.C.)","1909","4","22","seq-2","ed-1","3","http://localhost:62222/pages/9551/ncu_frankenbatch_ver01/sn84026483/1909/04/22/ed-1/seq-2/3","North Carolina","9551_1"
"100",1747,"9552","1","sn90059228","Warren sheaf (Warren, Marshal...)","1892","1","7","seq-2","ed-1","3","http://localhost:62222/pages/9552/mnhi_orr_ver01/sn90059228/1892/01/07/ed-1/seq-2/3","Minnesota","9552_1"
"101",1934,"9562","1","sn83016884","Southern Argus (Columbus, Miss.)","1839","6","18","seq-2","ed-1","3","http://localhost:62222/pages/9562/msar_kingsombra_ver01/sn83016884/1839/06/18/ed-1/seq-2/3","Mississippi","9562_1"
"102",1060,"9574","0","sn82015679","The Indianapolis journal (Indianapolis [I...)","1904","3","12","seq-6","ed-1","1","http://localhost:62222/pages/9574/in_hoosier_ver01/sn82015679/1904/03/12/ed-1/seq-6/1","Indiana","9574_0"
"103",1649,"9583","0","sn89081022","Willmar tribune (Willmar, Minn.)","1904","8","17","seq-2","ed-1","1","http://localhost:62222/pages/9583/mnhi_edsel_ver01/sn89081022/1904/08/17/ed-1/seq-2/1","Minnesota","9583_0"
"104",2300,"9587","0","sn91068367","The semi-weekly messenger (Wilmington, N.C...)","1903","8","4","seq-4","ed-1","1","http://localhost:62222/pages/9587/ncu_green_ver01/sn91068367/1903/08/04/ed-1/seq-4/1","North Carolina","9587_0"
"105",1607,"9630","0","sn83045366","The Minneapolis journal (Minneapolis, Mi...)","1903","6","15","seq-1","ed-1","1","http://localhost:62222/pages/9630/mnhi_comfrey_ver02/sn83045366/1903/06/15/ed-1/seq-1/1","Minnesota","9630_0"
"106",1646,"9637","0","sn83045366","The Minneapolis journal (Minneapolis, Mi...)","1906","10","25","seq-1","ed-1","1","http://localhost:62222/pages/9637/mnhi_dunbar_ver01/sn83045366/1906/10/25/ed-1/seq-1/1","Minnesota","9637_0"
"107",958,"9641","0","sn85049554","Evening times-Republican (Marshalltown, I...)","1907","4","17","seq-1","ed-1","1","http://localhost:62222/pages/9641/iahi_estes_ver01/sn85049554/1907/04/17/ed-1/seq-1/1","Iowa","9641_0"
"108",3269,"9642","0","sn87060165",NA,"1907","5","14","seq-4","ed-1","1","http://localhost:62222/pages/9642/vi_glass_ver01/sn87060165/1907/05/14/ed-1/seq-4/1","Virginia","9642_0"
"109",3266,"9646","0","sn85025007","Alexandria gazette (Alexandria, D.C...)","1907","5","10","seq-2","ed-1","1","http://localhost:62222/pages/9646/vi_foreigner_ver01/sn85025007/1907/05/10/ed-1/seq-2/1","District of Columbia","9646_0"
"110",1542,"9653","0","sn83016689","The Detroit times (Detroit, Mich.)","1912","2","8","seq-2","ed-1","1","http://localhost:62222/pages/9653/mimtptc_hemlock_ver01/sn83016689/1912/02/08/ed-1/seq-2/1","Michigan","9653_0"
"111",988,"9655","0","sn85049554","Evening times-Republican (Marshalltown, I...)","1913","5","16","seq-1","ed-1","1","http://localhost:62222/pages/9655/iahi_jolley_ver01/sn85049554/1913/05/16/ed-1/seq-1/1","Iowa","9655_0"
"112",1681,"9677","0","sn83016810","The Appeal (Saint Paul, Min...)","1914","8","1","seq-2","ed-1","2","http://localhost:62222/pages/9677/mnhi_funkley_ver02/sn83016810/1914/08/01/ed-1/seq-2/2","Illinois","9677_0"
"113",1682,"9677","1","sn83016810","The Appeal (Saint Paul, Min...)","1914","8","1","seq-2","ed-1","2","http://localhost:62222/pages/9677/mnhi_funkley_ver02/sn83016810/1914/08/01/ed-1/seq-2/2","Illinois","9677_1"
"114",783,"9684","0","sn83045462","Evening star (Washington, D.C...)","1883","8","22","seq-3","ed-1","1","http://localhost:62222/pages/9684/dlc_newfoundland_ver04/sn83045462/1883/08/22/ed-1/seq-3/1","District of Columbia","9684_0"
"115",1974,"9705","0","sn87007277",NA,"1913","8","8","seq-7","ed-1","5","http://localhost:62222/pages/9705/msar_lightningbolt_ver03/sn87007277/1913/08/08/ed-1/seq-7/5","Mississippi","9705_0"
"116",1753,"9706","0","sn90059228","Warren sheaf (Warren, Marshal...)","1895","9","26","seq-2","ed-1","4","http://localhost:62222/pages/9706/mnhi_orr_ver01/sn90059228/1895/09/26/ed-1/seq-2/4","Minnesota","9706_0"
"117",2869,"9709","0","sn2001063112",NA,"1898","12","2","seq-4","ed-1","2","http://localhost:62222/pages/9709/sdhi_goshawk_ver03/sn2001063112/1898/12/02/ed-1/seq-4/2","South Dakota","9709_0"
"118",2853,"9709","1","sn2001063112",NA,"1898","12","2","seq-4","ed-1","2","http://localhost:62222/pages/9709/sdhi_goshawk_ver03/sn2001063112/1898/12/02/ed-1/seq-4/2","South Dakota","9709_1"
"119",2847,"9709","2","sn2001063112",NA,"1898","12","2","seq-4","ed-1","2","http://localhost:62222/pages/9709/sdhi_goshawk_ver03/sn2001063112/1898/12/02/ed-1/seq-4/2","South Dakota","9709_2"
